;cuecolor;framecolor;orientation;stimulus;cueFileName;stimFileName;display;cocoa;cue0FileName;breakMessage
12;black;blue;hori;6;blackbluehori.png;blackbluehori6.png;trial;0;blackbluehori.png;
13;black;blue;vert;2;blackbluevert.png;blackbluevert2.png;trial;0;blackbluevert.png;
14;black;red;vert;6;blackredvert.png;blackredvert6.png;trial;0;blackredvert.png;
15;black;blue;hori;3;blackbluehori.png;blackbluehori3.png;trial;0;blackbluehori.png;
16;black;red;vert;1;blackredvert.png;blackredvert1.png;trial;0;blackredvert.png;
17;black;red;hori;3;blackredhori.png;blackredhori3.png;trial;0;blackredhori.png;
18;black;blue;hori;6;blackbluehori.png;blackbluehori6.png;trial;0;blackbluehori.png;
19;black;blue;hori;7;blackbluehori.png;blackbluehori7.png;trial;0;blackbluehori.png;
20;black;blue;hori;2;blackbluehori.png;blackbluehori2.png;trial;0;blackbluehori.png;
21;black;red;hori;9;blackredhori.png;blackredhori9.png;trial;0;blackredhori.png;
22;black;blue;vert;1;blackbluevert.png;blackbluevert1.png;trial;0;blackbluevert.png;
23;black;blue;vert;8;blackbluevert.png;blackbluevert8.png;trial;0;blackbluevert.png;
24;black;blue;vert;6;blackbluevert.png;blackbluevert6.png;trial;0;blackbluevert.png;
25;black;blue;hori;3;blackbluehori.png;blackbluehori3.png;trial;0;blackbluehori.png;
26;black;red;vert;2;blackredvert.png;blackredvert2.png;trial;0;blackredvert.png;
27;black;red;hori;8;blackredhori.png;blackredhori8.png;trial;0;blackredhori.png;
28;black;red;hori;2;blackredhori.png;blackredhori2.png;trial;0;blackredhori.png;
29;black;red;hori;7;blackredhori.png;blackredhori7.png;trial;0;blackredhori.png;
30;black;blue;hori;2;blackbluehori.png;blackbluehori2.png;trial;0;blackbluehori.png;
31;black;blue;vert;9;blackbluevert.png;blackbluevert9.png;trial;0;blackbluevert.png;
32;black;red;hori;4;blackredhori.png;blackredhori4.png;trial;0;blackredhori.png;
33;black;blue;hori;2;blackbluehori.png;blackbluehori2.png;trial;0;blackbluehori.png;
34;black;red;vert;4;blackredvert.png;blackredvert4.png;trial;0;blackredvert.png;
35;black;red;vert;7;blackredvert.png;blackredvert7.png;trial;0;blackredvert.png;
36;black;red;hori;1;blackredhori.png;blackredhori1.png;trial;0;blackredhori.png;
37;black;red;vert;2;blackredvert.png;blackredvert2.png;trial;0;blackredvert.png;
38;black;blue;vert;3;blackbluevert.png;blackbluevert3.png;trial;0;blackbluevert.png;
39;black;blue;hori;6;blackbluehori.png;blackbluehori6.png;trial;0;blackbluehori.png;
40;black;blue;hori;4;blackbluehori.png;blackbluehori4.png;trial;0;blackbluehori.png;
41;black;blue;hori;1;blackbluehori.png;blackbluehori1.png;trial;0;blackbluehori.png;
42;black;blue;vert;6;blackbluevert.png;blackbluevert6.png;trial;0;blackbluevert.png;
43;black;red;vert;2;blackredvert.png;blackredvert2.png;trial;0;blackredvert.png;
44;black;red;hori;1;blackredhori.png;blackredhori1.png;trial;0;blackredhori.png;
45;black;red;hori;3;blackredhori.png;blackredhori3.png;trial;0;blackredhori.png;
46;black;blue;hori;7;blackbluehori.png;blackbluehori7.png;trial;0;blackbluehori.png;
47;black;blue;vert;1;blackbluevert.png;blackbluevert1.png;trial;0;blackbluevert.png;
48;black;blue;hori;8;blackbluehori.png;blackbluehori8.png;trial;0;blackbluehori.png;
49;black;blue;vert;4;blackbluevert.png;blackbluevert4.png;trial;0;blackbluevert.png;
50;black;blue;hori;7;blackbluehori.png;blackbluehori7.png;trial;0;blackbluehori.png;
51;black;blue;vert;9;blackbluevert.png;blackbluevert9.png;trial;0;blackbluevert.png;
52;black;red;vert;6;blackredvert.png;blackredvert6.png;trial;0;blackredvert.png;
53;black;red;vert;8;blackredvert.png;blackredvert8.png;trial;0;blackredvert.png;
54;black;blue;hori;1;blackbluehori.png;blackbluehori1.png;trial;0;blackbluehori.png;
55;black;blue;hori;4;blackbluehori.png;blackbluehori4.png;trial;0;blackbluehori.png;
56;black;red;vert;8;blackredvert.png;blackredvert8.png;trial;0;blackredvert.png;
57;black;blue;hori;9;blackbluehori.png;blackbluehori9.png;trial;0;blackbluehori.png;
58;black;blue;vert;3;blackbluevert.png;blackbluevert3.png;trial;0;blackbluevert.png;
59;black;blue;hori;1;blackbluehori.png;blackbluehori1.png;trial;0;blackbluehori.png;
60;black;red;vert;3;blackredvert.png;blackredvert3.png;trial;0;blackredvert.png;
61;black;blue;hori;8;blackbluehori.png;blackbluehori8.png;trial;0;blackbluehori.png;
62;black;blue;hori;9;blackbluehori.png;blackbluehori9.png;trial;0;blackbluehori.png;
63;black;red;hori;4;blackredhori.png;blackredhori4.png;trial;0;blackredhori.png;
64;black;red;hori;8;blackredhori.png;blackredhori8.png;trial;0;blackredhori.png;
65;black;red;hori;4;blackredhori.png;blackredhori4.png;trial;0;blackredhori.png;
66;black;blue;vert;2;blackbluevert.png;blackbluevert2.png;trial;0;blackbluevert.png;
67;black;red;vert;1;blackredvert.png;blackredvert1.png;trial;0;blackredvert.png;
68;black;red;vert;9;blackredvert.png;blackredvert9.png;trial;0;blackredvert.png;
69;black;blue;vert;7;blackbluevert.png;blackbluevert7.png;trial;0;blackbluevert.png;
70;black;red;hori;6;blackredhori.png;blackredhori6.png;trial;0;blackredhori.png;
71;black;blue;hori;3;blackbluehori.png;blackbluehori3.png;trial;0;blackbluehori.png;
72;black;red;hori;9;blackredhori.png;blackredhori9.png;trial;0;blackredhori.png;
73;black;red;vert;6;blackredvert.png;blackredvert6.png;trial;0;blackredvert.png;
74;black;red;hori;8;blackredhori.png;blackredhori8.png;trial;0;blackredhori.png;
75;black;blue;vert;3;blackbluevert.png;blackbluevert3.png;trial;0;blackbluevert.png;
76;black;blue;vert;8;blackbluevert.png;blackbluevert8.png;trial;0;blackbluevert.png;
77;black;red;hori;3;blackredhori.png;blackredhori3.png;trial;0;blackredhori.png;
78;black;blue;vert;6;blackbluevert.png;blackbluevert6.png;trial;0;blackbluevert.png;
79;black;blue;vert;1;blackbluevert.png;blackbluevert1.png;trial;0;blackbluevert.png;
80;black;blue;vert;7;blackbluevert.png;blackbluevert7.png;trial;0;blackbluevert.png;
81;black;red;vert;9;blackredvert.png;blackredvert9.png;trial;0;blackredvert.png;
82;black;red;hori;1;blackredhori.png;blackredhori1.png;trial;0;blackredhori.png;
83;black;blue;vert;9;blackbluevert.png;blackbluevert9.png;trial;0;blackbluevert.png;
84;black;red;hori;7;blackredhori.png;blackredhori7.png;trial;0;blackredhori.png;
85;black;red;hori;6;blackredhori.png;blackredhori6.png;trial;0;blackredhori.png;
86;black;red;vert;9;blackredvert.png;blackredvert9.png;trial;0;blackredvert.png;
87;black;red;vert;4;blackredvert.png;blackredvert4.png;trial;0;blackredvert.png;
88;black;red;vert;1;blackredvert.png;blackredvert1.png;trial;0;blackredvert.png;
89;black;blue;vert;7;blackbluevert.png;blackbluevert7.png;trial;0;blackbluevert.png;
90;black;blue;vert;8;blackbluevert.png;blackbluevert8.png;trial;0;blackbluevert.png;
91;black;blue;vert;4;blackbluevert.png;blackbluevert4.png;trial;0;blackbluevert.png;
92;black;blue;hori;8;blackbluehori.png;blackbluehori8.png;trial;0;blackbluehori.png;
93;black;red;hori;6;blackredhori.png;blackredhori6.png;trial;0;blackredhori.png;
94;black;blue;hori;4;blackbluehori.png;blackbluehori4.png;trial;0;blackbluehori.png;
95;black;red;hori;2;blackredhori.png;blackredhori2.png;trial;0;blackredhori.png;
96;;;;;;;break;;;You have completed block 2 out of 8.
0;black;red;hori;9;blackredhori.png;blackredhori9.png;trial;300;blackblackhori.png;
1;black;blue;hori;8;blackbluehori.png;blackbluehori8.png;trial;300;blackblackhori.png;
2;black;blue;hori;6;blackbluehori.png;blackbluehori6.png;trial;300;blackblackhori.png;
3;black;blue;hori;1;blackbluehori.png;blackbluehori1.png;trial;300;blackblackhori.png;
4;black;blue;hori;6;blackbluehori.png;blackbluehori6.png;trial;300;blackblackhori.png;
5;black;red;vert;7;blackredvert.png;blackredvert7.png;trial;300;blackblackvert.png;
6;black;blue;vert;8;blackbluevert.png;blackbluevert8.png;trial;300;blackblackvert.png;
7;black;red;hori;7;blackredhori.png;blackredhori7.png;trial;300;blackblackhori.png;
8;black;red;vert;4;blackredvert.png;blackredvert4.png;trial;300;blackblackvert.png;
9;black;red;vert;7;blackredvert.png;blackredvert7.png;trial;300;blackblackvert.png;
10;black;red;vert;6;blackredvert.png;blackredvert6.png;trial;300;blackblackvert.png;
11;black;blue;hori;8;blackbluehori.png;blackbluehori8.png;trial;300;blackblackhori.png;
12;black;red;hori;6;blackredhori.png;blackredhori6.png;trial;300;blackblackhori.png;
13;black;blue;hori;1;blackbluehori.png;blackbluehori1.png;trial;300;blackblackhori.png;
14;black;red;hori;2;blackredhori.png;blackredhori2.png;trial;300;blackblackhori.png;
15;black;red;vert;8;blackredvert.png;blackredvert8.png;trial;300;blackblackvert.png;
16;black;blue;hori;7;blackbluehori.png;blackbluehori7.png;trial;300;blackblackhori.png;
17;black;red;vert;8;blackredvert.png;blackredvert8.png;trial;300;blackblackvert.png;
18;black;red;hori;7;blackredhori.png;blackredhori7.png;trial;300;blackblackhori.png;
19;black;red;hori;4;blackredhori.png;blackredhori4.png;trial;300;blackblackhori.png;
20;black;red;vert;2;blackredvert.png;blackredvert2.png;trial;300;blackblackvert.png;
