,cuecolor,framecolor,orientation,stimulus,cueFileName,stimFileName,display,cocoa,cue0FileName
52,blue,black,hori,3,blueblackhori.png,blueblackhori3.png,trial,300,blackblackhori.png
53,red,black,hori,2,redblackhori.png,redblackhori2.png,trial,300,blackblackhori.png
54,red,black,hori,1,redblackhori.png,redblackhori1.png,trial,300,blackblackhori.png
55,red,black,vert,4,redblackvert.png,redblackvert4.png,trial,300,blackblackvert.png
56,blue,black,hori,1,blueblackhori.png,blueblackhori1.png,trial,300,blackblackhori.png
57,blue,black,hori,2,blueblackhori.png,blueblackhori2.png,trial,300,blackblackhori.png
58,blue,black,vert,9,blueblackvert.png,blueblackvert9.png,trial,300,blackblackvert.png
59,red,black,hori,8,redblackhori.png,redblackhori8.png,trial,300,blackblackhori.png
60,blue,black,vert,7,blueblackvert.png,blueblackvert7.png,trial,300,blackblackvert.png
61,red,black,vert,9,redblackvert.png,redblackvert9.png,trial,300,blackblackvert.png
62,red,black,hori,6,redblackhori.png,redblackhori6.png,trial,300,blackblackhori.png
63,blue,black,hori,7,blueblackhori.png,blueblackhori7.png,trial,300,blackblackhori.png
64,blue,black,hori,6,blueblackhori.png,blueblackhori6.png,trial,300,blackblackhori.png
65,red,black,vert,3,redblackvert.png,redblackvert3.png,trial,300,blackblackvert.png
66,blue,black,vert,4,blueblackvert.png,blueblackvert4.png,trial,300,blackblackvert.png
67,red,black,hori,9,redblackhori.png,redblackhori9.png,trial,300,blackblackhori.png
68,red,black,hori,4,redblackhori.png,redblackhori4.png,trial,300,blackblackhori.png
69,red,black,hori,7,redblackhori.png,redblackhori7.png,trial,300,blackblackhori.png
70,red,black,vert,2,redblackvert.png,redblackvert2.png,trial,300,blackblackvert.png
71,blue,black,vert,9,blueblackvert.png,blueblackvert9.png,trial,300,blackblackvert.png
72,blue,black,vert,3,blueblackvert.png,blueblackvert3.png,trial,300,blackblackvert.png
73,blue,black,vert,9,blueblackvert.png,blueblackvert9.png,trial,300,blackblackvert.png
74,red,black,hori,2,redblackhori.png,redblackhori2.png,trial,300,blackblackhori.png
75,red,black,vert,9,redblackvert.png,redblackvert9.png,trial,300,blackblackvert.png
76,blue,black,hori,3,blueblackhori.png,blueblackhori3.png,trial,300,blackblackhori.png
77,blue,black,hori,1,blueblackhori.png,blueblackhori1.png,trial,300,blackblackhori.png
78,red,black,hori,7,redblackhori.png,redblackhori7.png,trial,300,blackblackhori.png
79,red,black,hori,1,redblackhori.png,redblackhori1.png,trial,300,blackblackhori.png
80,red,black,vert,8,redblackvert.png,redblackvert8.png,trial,300,blackblackvert.png
81,red,black,vert,2,redblackvert.png,redblackvert2.png,trial,300,blackblackvert.png
82,red,black,vert,4,redblackvert.png,redblackvert4.png,trial,300,blackblackvert.png
83,blue,black,vert,1,blueblackvert.png,blueblackvert1.png,trial,300,blackblackvert.png
84,red,black,vert,9,redblackvert.png,redblackvert9.png,trial,300,blackblackvert.png
85,blue,black,hori,2,blueblackhori.png,blueblackhori2.png,trial,300,blackblackhori.png
86,red,black,hori,9,redblackhori.png,redblackhori9.png,trial,300,blackblackhori.png
87,blue,black,vert,6,blueblackvert.png,blueblackvert6.png,trial,300,blackblackvert.png
88,blue,black,hori,7,blueblackhori.png,blueblackhori7.png,trial,300,blackblackhori.png
89,blue,black,vert,3,blueblackvert.png,blueblackvert3.png,trial,300,blackblackvert.png
90,red,black,vert,7,redblackvert.png,redblackvert7.png,trial,300,blackblackvert.png
91,red,black,vert,8,redblackvert.png,redblackvert8.png,trial,300,blackblackvert.png
92,red,black,hori,2,redblackhori.png,redblackhori2.png,trial,300,blackblackhori.png
93,red,black,vert,8,redblackvert.png,redblackvert8.png,trial,300,blackblackvert.png
94,blue,black,vert,4,blueblackvert.png,blueblackvert4.png,trial,300,blackblackvert.png
95,red,black,vert,6,redblackvert.png,redblackvert6.png,trial,300,blackblackvert.png
96,,,,,,,break,,
0,red,black,hori,4,redblackhori.png,redblackhori4.png,trial,0,redblackhori.png
1,blue,black,hori,2,blueblackhori.png,blueblackhori2.png,trial,0,blueblackhori.png
2,blue,black,vert,8,blueblackvert.png,blueblackvert8.png,trial,0,blueblackvert.png
3,red,black,hori,6,redblackhori.png,redblackhori6.png,trial,0,redblackhori.png
4,red,black,vert,1,redblackvert.png,redblackvert1.png,trial,0,redblackvert.png
5,red,black,vert,7,redblackvert.png,redblackvert7.png,trial,0,redblackvert.png
6,red,black,vert,1,redblackvert.png,redblackvert1.png,trial,0,redblackvert.png
7,red,black,vert,7,redblackvert.png,redblackvert7.png,trial,0,redblackvert.png
8,blue,black,vert,4,blueblackvert.png,blueblackvert4.png,trial,0,blueblackvert.png
9,red,black,hori,2,redblackhori.png,redblackhori2.png,trial,0,redblackhori.png
10,red,black,vert,8,redblackvert.png,redblackvert8.png,trial,0,redblackvert.png
11,blue,black,vert,2,blueblackvert.png,blueblackvert2.png,trial,0,blueblackvert.png
12,red,black,hori,8,redblackhori.png,redblackhori8.png,trial,0,redblackhori.png
13,red,black,hori,7,redblackhori.png,redblackhori7.png,trial,0,redblackhori.png
14,red,black,vert,3,redblackvert.png,redblackvert3.png,trial,0,redblackvert.png
15,blue,black,vert,8,blueblackvert.png,blueblackvert8.png,trial,0,blueblackvert.png
16,red,black,vert,4,redblackvert.png,redblackvert4.png,trial,0,redblackvert.png
17,blue,black,vert,7,blueblackvert.png,blueblackvert7.png,trial,0,blueblackvert.png
18,blue,black,hori,8,blueblackhori.png,blueblackhori8.png,trial,0,blueblackhori.png
19,blue,black,hori,9,blueblackhori.png,blueblackhori9.png,trial,0,blueblackhori.png
20,blue,black,hori,4,blueblackhori.png,blueblackhori4.png,trial,0,blueblackhori.png
21,blue,black,vert,1,blueblackvert.png,blueblackvert1.png,trial,0,blueblackvert.png
22,blue,black,hori,6,blueblackhori.png,blueblackhori6.png,trial,0,blueblackhori.png
23,blue,black,hori,9,blueblackhori.png,blueblackhori9.png,trial,0,blueblackhori.png
24,red,black,vert,2,redblackvert.png,redblackvert2.png,trial,0,redblackvert.png
25,red,black,vert,9,redblackvert.png,redblackvert9.png,trial,0,redblackvert.png
26,blue,black,hori,6,blueblackhori.png,blueblackhori6.png,trial,0,blueblackhori.png
27,red,black,vert,2,redblackvert.png,redblackvert2.png,trial,0,redblackvert.png
28,red,black,hori,7,redblackhori.png,redblackhori7.png,trial,0,redblackhori.png
29,red,black,hori,9,redblackhori.png,redblackhori9.png,trial,0,redblackhori.png
30,red,black,vert,4,redblackvert.png,redblackvert4.png,trial,0,redblackvert.png
31,red,black,vert,9,redblackvert.png,redblackvert9.png,trial,0,redblackvert.png
32,blue,black,vert,1,blueblackvert.png,blueblackvert1.png,trial,0,blueblackvert.png
33,blue,black,hori,3,blueblackhori.png,blueblackhori3.png,trial,0,blueblackhori.png
34,red,black,hori,8,redblackhori.png,redblackhori8.png,trial,0,redblackhori.png
35,red,black,hori,7,redblackhori.png,redblackhori7.png,trial,0,redblackhori.png
36,blue,black,hori,2,blueblackhori.png,blueblackhori2.png,trial,0,blueblackhori.png
37,blue,black,hori,1,blueblackhori.png,blueblackhori1.png,trial,0,blueblackhori.png
38,blue,black,vert,3,blueblackvert.png,blueblackvert3.png,trial,0,blueblackvert.png
39,red,black,vert,7,redblackvert.png,redblackvert7.png,trial,0,redblackvert.png
40,red,black,hori,1,redblackhori.png,redblackhori1.png,trial,0,redblackhori.png
41,red,black,hori,8,redblackhori.png,redblackhori8.png,trial,0,redblackhori.png
42,red,black,hori,1,redblackhori.png,redblackhori1.png,trial,0,redblackhori.png
43,blue,black,vert,4,blueblackvert.png,blueblackvert4.png,trial,0,blueblackvert.png
44,blue,black,hori,8,blueblackhori.png,blueblackhori8.png,trial,0,blueblackhori.png
45,red,black,vert,3,redblackvert.png,redblackvert3.png,trial,0,redblackvert.png
46,red,black,hori,4,redblackhori.png,redblackhori4.png,trial,0,redblackhori.png
47,blue,black,vert,3,blueblackvert.png,blueblackvert3.png,trial,0,blueblackvert.png
48,red,black,hori,4,redblackhori.png,redblackhori4.png,trial,0,redblackhori.png
49,red,black,vert,1,redblackvert.png,redblackvert1.png,trial,0,redblackvert.png
50,red,black,vert,4,redblackvert.png,redblackvert4.png,trial,0,redblackvert.png
51,red,black,hori,9,redblackhori.png,redblackhori9.png,trial,0,redblackhori.png
52,blue,black,vert,8,blueblackvert.png,blueblackvert8.png,trial,0,blueblackvert.png
53,blue,black,vert,6,blueblackvert.png,blueblackvert6.png,trial,0,blueblackvert.png
54,blue,black,vert,9,blueblackvert.png,blueblackvert9.png,trial,0,blueblackvert.png
55,blue,black,vert,6,blueblackvert.png,blueblackvert6.png,trial,0,blueblackvert.png
56,blue,black,hori,7,blueblackhori.png,blueblackhori7.png,trial,0,blueblackhori.png
57,blue,black,hori,1,blueblackhori.png,blueblackhori1.png,trial,0,blueblackhori.png
58,blue,black,vert,9,blueblackvert.png,blueblackvert9.png,trial,0,blueblackvert.png
59,red,black,hori,6,redblackhori.png,redblackhori6.png,trial,0,redblackhori.png
60,blue,black,vert,2,blueblackvert.png,blueblackvert2.png,trial,0,blueblackvert.png
61,red,black,hori,1,redblackhori.png,redblackhori1.png,trial,0,redblackhori.png
62,red,black,hori,2,redblackhori.png,redblackhori2.png,trial,0,redblackhori.png
63,blue,black,vert,4,blueblackvert.png,blueblackvert4.png,trial,0,blueblackvert.png
64,red,black,hori,6,redblackhori.png,redblackhori6.png,trial,0,redblackhori.png
65,blue,black,hori,4,blueblackhori.png,blueblackhori4.png,trial,0,blueblackhori.png
66,red,black,hori,3,redblackhori.png,redblackhori3.png,trial,0,redblackhori.png
67,blue,black,hori,9,blueblackhori.png,blueblackhori9.png,trial,0,blueblackhori.png
68,red,black,hori,3,redblackhori.png,redblackhori3.png,trial,0,redblackhori.png
69,blue,black,hori,4,blueblackhori.png,blueblackhori4.png,trial,0,blueblackhori.png
70,blue,black,hori,3,blueblackhori.png,blueblackhori3.png,trial,0,blueblackhori.png
71,blue,black,hori,6,blueblackhori.png,blueblackhori6.png,trial,0,blueblackhori.png
72,red,black,vert,2,redblackvert.png,redblackvert2.png,trial,0,redblackvert.png
73,blue,black,hori,7,blueblackhori.png,blueblackhori7.png,trial,0,blueblackhori.png
74,red,black,vert,9,redblackvert.png,redblackvert9.png,trial,0,redblackvert.png
75,red,black,hori,3,redblackhori.png,redblackhori3.png,trial,0,redblackhori.png
76,blue,black,vert,2,blueblackvert.png,blueblackvert2.png,trial,0,blueblackvert.png
77,red,black,vert,6,redblackvert.png,redblackvert6.png,trial,0,redblackvert.png
78,blue,black,vert,1,blueblackvert.png,blueblackvert1.png,trial,0,blueblackvert.png
79,red,black,hori,9,redblackhori.png,redblackhori9.png,trial,0,redblackhori.png
80,blue,black,hori,2,blueblackhori.png,blueblackhori2.png,trial,0,blueblackhori.png
81,blue,black,hori,7,blueblackhori.png,blueblackhori7.png,trial,0,blueblackhori.png
82,blue,black,vert,9,blueblackvert.png,blueblackvert9.png,trial,0,blueblackvert.png
83,red,black,vert,6,redblackvert.png,redblackvert6.png,trial,0,redblackvert.png
84,blue,black,hori,8,blueblackhori.png,blueblackhori8.png,trial,0,blueblackhori.png
85,red,black,hori,2,redblackhori.png,redblackhori2.png,trial,0,redblackhori.png
86,blue,black,vert,7,blueblackvert.png,blueblackvert7.png,trial,0,blueblackvert.png
87,blue,black,hori,3,blueblackhori.png,blueblackhori3.png,trial,0,blueblackhori.png
88,blue,black,vert,7,blueblackvert.png,blueblackvert7.png,trial,0,blueblackvert.png
89,blue,black,hori,1,blueblackhori.png,blueblackhori1.png,trial,0,blueblackhori.png
90,red,black,vert,8,redblackvert.png,redblackvert8.png,trial,0,redblackvert.png
91,red,black,vert,3,redblackvert.png,redblackvert3.png,trial,0,redblackvert.png
92,blue,black,vert,6,blueblackvert.png,blueblackvert6.png,trial,0,blueblackvert.png
93,blue,black,vert,3,blueblackvert.png,blueblackvert3.png,trial,0,blueblackvert.png
94,red,black,vert,8,redblackvert.png,redblackvert8.png,trial,0,redblackvert.png
95,red,black,vert,6,redblackvert.png,redblackvert6.png,trial,0,redblackvert.png
96,,,,,,,break,,
0,red,black,vert,2,redblackvert.png,redblackvert2.png,trial,300,blackblackvert.png
1,red,black,hori,1,redblackhori.png,redblackhori1.png,trial,300,blackblackhori.png
2,red,black,hori,8,redblackhori.png,redblackhori8.png,trial,300,blackblackhori.png
3,blue,black,vert,6,blueblackvert.png,blueblackvert6.png,trial,300,blackblackvert.png
4,red,black,vert,1,redblackvert.png,redblackvert1.png,trial,300,blackblackvert.png
5,blue,black,vert,8,blueblackvert.png,blueblackvert8.png,trial,300,blackblackvert.png
6,blue,black,vert,6,blueblackvert.png,blueblackvert6.png,trial,300,blackblackvert.png
7,blue,black,vert,2,blueblackvert.png,blueblackvert2.png,trial,300,blackblackvert.png
8,red,black,vert,9,redblackvert.png,redblackvert9.png,trial,300,blackblackvert.png
9,blue,black,vert,1,blueblackvert.png,blueblackvert1.png,trial,300,blackblackvert.png
10,red,black,vert,6,redblackvert.png,redblackvert6.png,trial,300,blackblackvert.png
11,red,black,hori,3,redblackhori.png,redblackhori3.png,trial,300,blackblackhori.png
12,red,black,hori,4,redblackhori.png,redblackhori4.png,trial,300,blackblackhori.png
13,blue,black,vert,8,blueblackvert.png,blueblackvert8.png,trial,300,blackblackvert.png
14,red,black,vert,9,redblackvert.png,redblackvert9.png,trial,300,blackblackvert.png
15,red,black,vert,6,redblackvert.png,redblackvert6.png,trial,300,blackblackvert.png
16,blue,black,vert,4,blueblackvert.png,blueblackvert4.png,trial,300,blackblackvert.png
17,red,black,vert,1,redblackvert.png,redblackvert1.png,trial,300,blackblackvert.png
18,red,black,vert,4,redblackvert.png,redblackvert4.png,trial,300,blackblackvert.png
19,blue,black,vert,7,blueblackvert.png,blueblackvert7.png,trial,300,blackblackvert.png
20,blue,black,hori,4,blueblackhori.png,blueblackhori4.png,trial,300,blackblackhori.png
21,red,black,hori,2,redblackhori.png,redblackhori2.png,trial,300,blackblackhori.png
22,red,black,hori,9,redblackhori.png,redblackhori9.png,trial,300,blackblackhori.png
23,red,black,vert,1,redblackvert.png,redblackvert1.png,trial,300,blackblackvert.png
24,blue,black,hori,9,blueblackhori.png,blueblackhori9.png,trial,300,blackblackhori.png
25,red,black,hori,7,redblackhori.png,redblackhori7.png,trial,300,blackblackhori.png
26,blue,black,hori,9,blueblackhori.png,blueblackhori9.png,trial,300,blackblackhori.png
27,blue,black,vert,4,blueblackvert.png,blueblackvert4.png,trial,300,blackblackvert.png
28,red,black,vert,7,redblackvert.png,redblackvert7.png,trial,300,blackblackvert.png
29,red,black,hori,2,redblackhori.png,redblackhori2.png,trial,300,blackblackhori.png
30,red,black,vert,8,redblackvert.png,redblackvert8.png,trial,300,blackblackvert.png
31,blue,black,hori,1,blueblackhori.png,blueblackhori1.png,trial,300,blackblackhori.png
