;display;magnMap;parMap;greatMap;lessMap;oddMap;evenMap;firstFig;secondFig;cuecolor;framecolor;orientation;stimulus;cueFileName;stimFileName;task;ANSWER;cocoa;cue0FileName;blockN;trialN;breakMessage;mappingsGuide
63;trial;;;;;;;;;red;black;hori;9;redblackhori.png;redblackhori9.png;magnit;A;300;blackblackhori.png;0.0;45.0;;horiAA.png
64;trial;;;;;;;;;blue;black;hori;4;blueblackhori.png;blueblackhori4.png;magnit;L;300;blackblackhori.png;0.0;46.0;;horiAA.png
65;trial;;;;;;;;;blue;black;vert;9;blueblackvert.png;blueblackvert9.png;parity;A;300;blackblackvert.png;0.0;47.0;;horiAA.png
66;trial;;;;;;;;;red;black;hori;2;redblackhori.png;redblackhori2.png;magnit;L;300;blackblackhori.png;0.0;48.0;;horiAA.png
67;trial;;;;;;;;;red;black;vert;8;redblackvert.png;redblackvert8.png;parity;L;300;blackblackvert.png;0.0;49.0;;horiAA.png
68;trial;;;;;;;;;blue;black;hori;4;blueblackhori.png;blueblackhori4.png;magnit;L;300;blackblackhori.png;0.0;50.0;;horiAA.png
69;trial;;;;;;;;;red;black;hori;7;redblackhori.png;redblackhori7.png;magnit;A;300;blackblackhori.png;0.0;51.0;;horiAA.png
70;trial;;;;;;;;;blue;black;hori;2;blueblackhori.png;blueblackhori2.png;magnit;L;300;blackblackhori.png;0.0;52.0;;horiAA.png
71;trial;;;;;;;;;red;black;vert;1;redblackvert.png;redblackvert1.png;parity;A;300;blackblackvert.png;0.0;53.0;;horiAA.png
72;trial;;;;;;;;;red;black;vert;2;redblackvert.png;redblackvert2.png;parity;L;300;blackblackvert.png;0.0;54.0;;horiAA.png
73;trial;;;;;;;;;blue;black;vert;6;blueblackvert.png;blueblackvert6.png;parity;L;300;blackblackvert.png;0.0;55.0;;horiAA.png
74;trial;;;;;;;;;blue;black;vert;8;blueblackvert.png;blueblackvert8.png;parity;L;300;blackblackvert.png;0.0;56.0;;horiAA.png
75;trial;;;;;;;;;red;black;vert;2;redblackvert.png;redblackvert2.png;parity;L;300;blackblackvert.png;0.0;57.0;;horiAA.png
76;trial;;;;;;;;;blue;black;hori;3;blueblackhori.png;blueblackhori3.png;magnit;L;300;blackblackhori.png;0.0;58.0;;horiAA.png
77;trial;;;;;;;;;blue;black;hori;1;blueblackhori.png;blueblackhori1.png;magnit;L;300;blackblackhori.png;0.0;59.0;;horiAA.png
78;trial;;;;;;;;;blue;black;hori;6;blueblackhori.png;blueblackhori6.png;magnit;A;300;blackblackhori.png;0.0;60.0;;horiAA.png
79;trial;;;;;;;;;blue;black;vert;4;blueblackvert.png;blueblackvert4.png;parity;L;300;blackblackvert.png;0.0;61.0;;horiAA.png
80;trial;;;;;;;;;blue;black;hori;3;blueblackhori.png;blueblackhori3.png;magnit;L;300;blackblackhori.png;0.0;62.0;;horiAA.png
81;trial;;;;;;;;;red;black;vert;6;redblackvert.png;redblackvert6.png;parity;L;300;blackblackvert.png;0.0;63.0;;horiAA.png
82;trial;;;;;;;;;red;black;vert;9;redblackvert.png;redblackvert9.png;parity;A;300;blackblackvert.png;0.0;64.0;;horiAA.png
83;trial;;;;;;;;;red;black;vert;8;redblackvert.png;redblackvert8.png;parity;L;300;blackblackvert.png;0.0;65.0;;horiAA.png
84;trial;;;;;;;;;red;black;vert;6;redblackvert.png;redblackvert6.png;parity;L;300;blackblackvert.png;0.0;66.0;;horiAA.png
85;trial;;;;;;;;;red;black;hori;1;redblackhori.png;redblackhori1.png;magnit;L;300;blackblackhori.png;0.0;67.0;;horiAA.png
86;trial;;;;;;;;;red;black;vert;9;redblackvert.png;redblackvert9.png;parity;A;300;blackblackvert.png;0.0;68.0;;horiAA.png
87;trial;;;;;;;;;blue;black;hori;8;blueblackhori.png;blueblackhori8.png;magnit;A;300;blackblackhori.png;0.0;69.0;;horiAA.png
88;trial;;;;;;;;;blue;black;hori;7;blueblackhori.png;blueblackhori7.png;magnit;A;300;blackblackhori.png;0.0;70.0;;horiAA.png
89;trial;;;;;;;;;red;black;hori;8;redblackhori.png;redblackhori8.png;magnit;A;300;blackblackhori.png;0.0;71.0;;horiAA.png
90;trial;;;;;;;;;red;black;vert;7;redblackvert.png;redblackvert7.png;parity;A;300;blackblackvert.png;0.0;72.0;;horiAA.png
91;trial;;;;;;;;;blue;black;vert;4;blueblackvert.png;blueblackvert4.png;parity;L;300;blackblackvert.png;0.0;73.0;;horiAA.png
92;trial;;;;;;;;;red;black;hori;6;redblackhori.png;redblackhori6.png;magnit;A;300;blackblackhori.png;0.0;74.0;;horiAA.png
93;trial;;;;;;;;;blue;black;vert;4;blueblackvert.png;blueblackvert4.png;parity;L;300;blackblackvert.png;0.0;75.0;;horiAA.png
94;trial;;;;;;;;;blue;black;vert;8;blueblackvert.png;blueblackvert8.png;parity;L;300;blackblackvert.png;0.0;76.0;;horiAA.png
95;trial;;;;;;;;;red;black;vert;7;redblackvert.png;redblackvert7.png;parity;A;300;blackblackvert.png;0.0;77.0;;horiAA.png
96;trial;;;;;;;;;red;black;hori;9;redblackhori.png;redblackhori9.png;magnit;A;300;blackblackhori.png;0.0;78.0;;horiAA.png
97;trial;;;;;;;;;red;black;hori;7;redblackhori.png;redblackhori7.png;magnit;A;300;blackblackhori.png;0.0;79.0;;horiAA.png
98;trial;;;;;;;;;red;black;hori;6;redblackhori.png;redblackhori6.png;magnit;A;300;blackblackhori.png;0.0;80.0;;horiAA.png
99;trial;;;;;;;;;blue;black;hori;1;blueblackhori.png;blueblackhori1.png;magnit;L;300;blackblackhori.png;0.0;81.0;;horiAA.png
100;trial;;;;;;;;;red;black;hori;2;redblackhori.png;redblackhori2.png;magnit;L;300;blackblackhori.png;0.0;82.0;;horiAA.png
