;cuecolor;framecolor;orientation;stimulus;cueFileName;stimFileName;display;randomise_trials;cue0FileName
27;red;black;vert;4;redblackvert.png;redblackvert4.png;trial;1;redblackvert.png
28;red;black;vert;6;redblackvert.png;redblackvert6.png;trial;1;redblackvert.png
29;red;black;vert;7;redblackvert.png;redblackvert7.png;trial;1;redblackvert.png
30;red;black;vert;8;redblackvert.png;redblackvert8.png;trial;1;redblackvert.png
31;red;black;vert;9;redblackvert.png;redblackvert9.png;trial;1;redblackvert.png
32;blue;black;horiz;1;blueblackhoriz.png;blueblackhoriz1.png;trial;2;blackblackhoriz.png
33;blue;black;horiz;2;blueblackhoriz.png;blueblackhoriz2.png;trial;2;blackblackhoriz.png
34;blue;black;horiz;3;blueblackhoriz.png;blueblackhoriz3.png;trial;2;blackblackhoriz.png
35;blue;black;horiz;4;blueblackhoriz.png;blueblackhoriz4.png;trial;2;blackblackhoriz.png
36;blue;black;horiz;6;blueblackhoriz.png;blueblackhoriz6.png;trial;2;blackblackhoriz.png
37;blue;black;horiz;7;blueblackhoriz.png;blueblackhoriz7.png;trial;2;blackblackhoriz.png
38;blue;black;horiz;8;blueblackhoriz.png;blueblackhoriz8.png;trial;2;blackblackhoriz.png
39;blue;black;horiz;9;blueblackhoriz.png;blueblackhoriz9.png;trial;2;blackblackhoriz.png
40;blue;black;vert;1;blueblackvert.png;blueblackvert1.png;trial;2;blackblackvert.png
41;blue;black;vert;2;blueblackvert.png;blueblackvert2.png;trial;2;blackblackvert.png
42;blue;black;vert;3;blueblackvert.png;blueblackvert3.png;trial;2;blackblackvert.png
43;blue;black;vert;4;blueblackvert.png;blueblackvert4.png;trial;2;blackblackvert.png
44;blue;black;vert;6;blueblackvert.png;blueblackvert6.png;trial;2;blackblackvert.png
45;blue;black;vert;7;blueblackvert.png;blueblackvert7.png;trial;2;blackblackvert.png
46;blue;black;vert;8;blueblackvert.png;blueblackvert8.png;trial;2;blackblackvert.png
47;blue;black;vert;9;blueblackvert.png;blueblackvert9.png;trial;2;blackblackvert.png
48;red;black;horiz;1;redblackhoriz.png;redblackhoriz1.png;trial;2;blackblackhoriz.png
49;red;black;horiz;2;redblackhoriz.png;redblackhoriz2.png;trial;2;blackblackhoriz.png
50;red;black;horiz;3;redblackhoriz.png;redblackhoriz3.png;trial;2;blackblackhoriz.png
51;red;black;horiz;4;redblackhoriz.png;redblackhoriz4.png;trial;2;blackblackhoriz.png
52;red;black;horiz;6;redblackhoriz.png;redblackhoriz6.png;trial;2;blackblackhoriz.png
53;red;black;horiz;7;redblackhoriz.png;redblackhoriz7.png;trial;2;blackblackhoriz.png
54;red;black;horiz;8;redblackhoriz.png;redblackhoriz8.png;trial;2;blackblackhoriz.png
55;red;black;horiz;9;redblackhoriz.png;redblackhoriz9.png;trial;2;blackblackhoriz.png
56;red;black;vert;1;redblackvert.png;redblackvert1.png;trial;2;blackblackvert.png
57;red;black;vert;2;redblackvert.png;redblackvert2.png;trial;2;blackblackvert.png
58;red;black;vert;3;redblackvert.png;redblackvert3.png;trial;2;blackblackvert.png
59;red;black;vert;4;redblackvert.png;redblackvert4.png;trial;2;blackblackvert.png
60;red;black;vert;6;redblackvert.png;redblackvert6.png;trial;2;blackblackvert.png
61;red;black;vert;7;redblackvert.png;redblackvert7.png;trial;2;blackblackvert.png
62;red;black;vert;8;redblackvert.png;redblackvert8.png;trial;2;blackblackvert.png
63;red;black;vert;9;redblackvert.png;redblackvert9.png;trial;2;blackblackvert.png
