Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;counterbalance-9qvq;checkpoint-ngg1;checkpoint-nubw;checkpoint-t5ey;Spreadsheet Name;Spreadsheet Row;Trial Number;Screen Number;Screen Name;Zone Name;Zone Type;Reaction Time;Reaction Onset;Response;Attempt;Correct;Incorrect;Dishonest;X Coordinate;Y Coordinate;Timed Out;randomise_blocks;randomise_trials;display;parMap;oddMap;evenMap;firstFig;secondFig;cueFileName;stimFileName;magnMap;greatMap;lessMap;ANSWER;mappingsGuide;cue0FileName;breakMessage;;cuecolor;framecolor;orientation;stimulus;task;cocoa;blockN;trialN;__EMPTY
556;1590678787763;28/05/2020 15:13:07;1590678787688;-4;28/05/2020 11:13:07;18619;2;task-me89;;5179156;5acc3c34fa3b4e000173c659;1465359;;complete;;5ecfd24609d61f04790e71ae;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 12.1.2;1280x800;1280x656;demographics done;Instr_Train_Exp_BRAC2;9;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;140;121;3;Screen 3;advancementZone;timelimit_screen;300;;;;0;1;0;;;1;;;trial;;;;;;blackbluevert.png;blackbluevert6.png;;;;L;vertLA.png;blackbluevert.png;;;black;blue;vert;6;magnit;0;1.0;24.0;139
557;1590678788389;28/05/2020 15:13:08;1590678788322;-4;28/05/2020 11:13:08;18619;2;task-me89;;5179156;5acc3c34fa3b4e000173c659;1465359;;complete;;5ecfd24609d61f04790e71ae;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 12.1.2;1280x800;1280x656;demographics done;Instr_Train_Exp_BRAC2;9;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;140;121;4;Screen 4;Zone4;response_keyboard_single;628;;L;1;1;0;0;;;;;;trial;;;;;;blackbluevert.png;blackbluevert6.png;;;;L;vertLA.png;blackbluevert.png;;;black;blue;vert;6;magnit;0;1.0;24.0;139
558;1590678789843;28/05/2020 15:13:09;1590678789722;-4;28/05/2020 11:13:09;18619;2;task-me89;;5179156;5acc3c34fa3b4e000173c659;1465359;;complete;;5ecfd24609d61f04790e71ae;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 12.1.2;1280x800;1280x656;demographics done;Instr_Train_Exp_BRAC2;9;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;141;122;1;Screen 1;fixation;fixation;1401;;;;0;1;0;;;;;;trial;;;;;;blackredhori.png;blackredhori4.png;;;;L;vertLA.png;blackredhori.png;;;black;red;hori;4;parity;0;1.0;25.0;140
559;1590678790093;28/05/2020 15:13:10;1590678790023;-4;28/05/2020 11:13:10;18619;2;task-me89;;5179156;5acc3c34fa3b4e000173c659;1465359;;complete;;5ecfd24609d61f04790e71ae;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 12.1.2;1280x800;1280x656;demographics done;Instr_Train_Exp_BRAC2;9;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;141;122;2;Screen 2;advancementZone;timelimit_screen;301;;;;0;1;0;;;1;;;trial;;;;;;blackredhori.png;blackredhori4.png;;;;L;vertLA.png;blackredhori.png;;;black;red;hori;4;parity;0;1.0;25.0;140
560;1590678790389;28/05/2020 15:13:10;1590678790323;-4;28/05/2020 11:13:10;18619;2;task-me89;;5179156;5acc3c34fa3b4e000173c659;1465359;;complete;;5ecfd24609d61f04790e71ae;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 12.1.2;1280x800;1280x656;demographics done;Instr_Train_Exp_BRAC2;9;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;141;122;3;Screen 3;advancementZone;timelimit_screen;300;;;;0;1;0;;;1;;;trial;;;;;;blackredhori.png;blackredhori4.png;;;;L;vertLA.png;blackredhori.png;;;black;red;hori;4;parity;0;1.0;25.0;140
561;1590678791093;28/05/2020 15:13:11;1590678791034;-4;28/05/2020 11:13:11;18619;2;task-me89;;5179156;5acc3c34fa3b4e000173c659;1465359;;complete;;5ecfd24609d61f04790e71ae;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 12.1.2;1280x800;1280x656;demographics done;Instr_Train_Exp_BRAC2;9;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;141;122;4;Screen 4;Zone4;response_keyboard_single;706;;L;1;1;0;0;;;;;;trial;;;;;;blackredhori.png;blackredhori4.png;;;;L;vertLA.png;blackredhori.png;;;black;red;hori;4;parity;0;1.0;25.0;140
562;1590678792499;28/05/2020 15:13:12;1590678792426;-4;28/05/2020 11:13:12;18619;2;task-me89;;5179156;5acc3c34fa3b4e000173c659;1465359;;complete;;5ecfd24609d61f04790e71ae;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 12.1.2;1280x800;1280x656;demographics done;Instr_Train_Exp_BRAC2;9;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;142;123;1;Screen 1;fixation;fixation;1404;;;;0;1;0;;;;;;trial;;;;;;blackredhori.png;blackredhori6.png;;;;L;vertLA.png;blackredhori.png;;;black;red;hori;6;parity;0;1.0;26.0;141
563;1590678792795;28/05/2020 15:13:12;1590678792727;-4;28/05/2020 11:13:12;18619;2;task-me89;;5179156;5acc3c34fa3b4e000173c659;1465359;;complete;;5ecfd24609d61f04790e71ae;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 12.1.2;1280x800;1280x656;demographics done;Instr_Train_Exp_BRAC2;9;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;142;123;2;Screen 2;advancementZone;timelimit_screen;300;;;;0;1;0;;;1;;;trial;;;;;;blackredhori.png;blackredhori6.png;;;;L;vertLA.png;blackredhori.png;;;black;red;hori;6;parity;0;1.0;26.0;141
564;1590678793093;28/05/2020 15:13:13;1590678793027;-4;28/05/2020 11:13:13;18619;2;task-me89;;5179156;5acc3c34fa3b4e000173c659;1465359;;complete;;5ecfd24609d61f04790e71ae;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 12.1.2;1280x800;1280x656;demographics done;Instr_Train_Exp_BRAC2;9;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;142;123;3;Screen 3;advancementZone;timelimit_screen;300;;;;0;1;0;;;1;;;trial;;;;;;blackredhori.png;blackredhori6.png;;;;L;vertLA.png;blackredhori.png;;;black;red;hori;6;parity;0;1.0;26.0;141
565;1590678793530;28/05/2020 15:13:13;1590678793442;-4;28/05/2020 11:13:13;18619;2;task-me89;;5179156;5acc3c34fa3b4e000173c659;1465359;;complete;;5ecfd24609d61f04790e71ae;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 12.1.2;1280x800;1280x656;demographics done;Instr_Train_Exp_BRAC2;9;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;142;123;4;Screen 4;Zone3;response_keyboard_single;411;;A;1;0;1;0;;;;;;trial;;;;;;blackredhori.png;blackredhori6.png;;;;L;vertLA.png;blackredhori.png;;;black;red;hori;6;parity;0;1.0;26.0;141
