"pp";"remove";"mapping";"message";"message1";"message2";"age";"sex";"country";"education";"handedness";"motherTongue";"psyKnowledge";"comment"
"5eb495690943fe3088ca4517";"0";"BRAC2_horiLA_1st0";"";"has had 3 weird fixations durations;";"did 49 errors;";"18";"male";"UK";"Some university/higher education but no degree";"right-handed";"English";"Some knowledge as amateur";""
"5ec6bdfa0b0a680cae967aa3";"0";"BRAC2_horiAA_1st300";"";"";"did 48 errors;";NA;"female";"Ireland";"High school diploma";"right-handed";"English";"Some knowledge as amateur";""
"5ec7ff70dab57428fee5d0a2";"0";"BRAC2_vertAA_1st0";"";"";"";"22";"male";"Portugal";"High school diploma";"right-handed";"Portuguese";"I've studied at least one of these disciplines (school or university)";""
"5b87ef6c07616d000191b049";"0";"BRAC2_horiAA_1st0";"";"";"";"24";"male";"United Kingdom";"Bachelor degree";"right-handed";"English";"Not at all";""
"5b9d25ec7b196f0001957d21";"1";"BRAC2_horiAL_1st0";"";"";"did 39 very slow responses; did 216 errors;";"32";"male";"Greece";"Master degree";"right-handed";"Greek";"Not at all";""
"5c19f2319bce3100018a67ba";"0";"BRAC2_vertAA_1st300";"";"";"";"22";"male";"Portugal";"Some university/higher education but no degree";"right-handed";"Portuguese";"I've studied at least one of these disciplines (school or university)";""
"5c95236d2e2e320001b1ab16";"0";"BRAC2_horiAA_1st0";"";"";"did 51 errors;";"21";"male";"United Kingdom";"Some university/higher education but no degree";"right-handed";"English";"Some knowledge as amateur";""
"5d1f9776676cd1001580ae9c";"0";"BRAC2_vertLL_1st300";"";"";"";"33";"female";"United Kingsom";"Bachelor degree";"right-handed";"English";"Not at all";""
"5dcdbee523eb6a02e122c847";"0";"BRAC2_horiAL_1st0";"";"";"";"20";"male";"Poland";"High school diploma";"right-handed";"English";"Not at all";""
"5eba67eb17a5461ab1182c5a";"0";"BRAC2_horiAA_1st300";"";"";"";"27";"female";"Italy";"Bachelor degree";"right-handed";"Italian";"Not at all";""
