"","V1","V2","V3","V4"
"238",0,0,0,11
"239",0,0,0,9
"240",0,0,0,11
"241",0,0,0,10
"242",0,0,0,11
"243",0,0,0,11
"244",0,0,0,9
"245",0,0,0,11
"246",0,0,0,17
"247",0,0,0,15
"248",0,0,0,10
"249",0,0,0,6
"250",0,0,0,11
"251",0,0,0,10
"252",0,0,0,14
"253",0,0,0,10
"254",0,0,0,9
"255",0,0,0,12
"256",0,0,0,8
"257",0,0,0,5
"258",0,0,0,7
"259",0,0,0,3
"260",0,0,0,9
"261",0,0,0,8
"262",0,0,0,7
"263",0,0,0,3
"264",0,0,0,14
"265",0,0,0,5
"266",0,0,0,8
"267",0,0,0,6
"268",0,0,0,7
"269",0,0,0,3
"270",0,0,0,7
"271",0,0,0,5
"272",0,0,0,7
"273",0,0,0,10
"274",0,0,0,9
"275",0,0,0,7
"276",0,0,0,12
"277",0,0,0,12
"278",0,0,0,9
"279",0,0,0,11
"280",0,0,0,14
"281",0,0,0,12
"282",0,0,0,7
"283",0,0,0,13
"284",0,0,0,18
"285",0,0,0,10
"286",0,0,0,11
"287",0,0,0,8
"288",0,0,0,7
"289",0,0,0,6
"290",0,0,0,13
"291",0,0,0,8
"292",0,0,0,6
"293",0,0,0,21
"294",0,0,0,14
"295",0,0,0,11
"296",0,0,0,12
"297",0,0,0,8
"298",0,0,0,12
"299",0,0,0,5
"300",0,0,0,8
"301",0,0,0,15
"302",0,0,0,4
"303",0,0,0,15
"304",0,0,0,14
"305",0,0,0,5
"306",0,0,0,10
"307",0,0,0,11
"308",0,0,0,12
"309",0,0,0,18
"310",0,0,0,8
"311",0,0,0,14
"312",0,0,0,9
"313",0,0,0,12
"314",0,0,0,17
"315",0,0,0,12
"316",0,0,0,10
"317",0,0,0,8
"318",0,0,0,6
"319",0,0,0,10
"320",0,0,0,17
"321",0,0,0,7
"322",0,0,0,10
"323",0,0,0,7
"324",0,0,0,9
"325",0,0,0,7
"326",0,0,0,8
"327",0,0,0,12
"328",0,0,0,8
"329",0,0,0,10
"330",0,0,0,4
"331",0,0,0,15
"332",0,0,0,10
"333",0,0,0,5
"334",0,0,0,10
"335",0,0,0,9
"336",0,0,0,9
"337",0,0,0,5
"338",0,0,0,6
"339",0,0,0,8
"340",0,0,0,10
"341",0,0,0,12
"342",0,0,0,17
"343",0,0,0,21
"344",0,0,0,13
"345",0,0,0,8
"346",0,0,0,12
"347",0,0,0,6
"348",0,0,0,10
"349",0,0,0,10
"350",0,0,0,7
"351",0,0,0,5
"352",0,0,0,7
"353",0,0,0,9
"354",0,0,0,9
"355",0,0,0,18
"356",0,0,0,7
"357",0,0,0,16
"358",0,0,0,10
"359",0,0,0,14
"360",0,0,0,17
"361",0,0,0,10
"362",0,0,0,4
"363",0,0,0,10
"364",0,0,0,11
"365",0,0,0,10
"366",0,0,0,9
"367",0,0,0,8
"368",0,0,0,11
"369",0,0,0,14
"370",0,0,0,10
"371",0,0,0,8
"372",0,0,0,7
"373",0,0,0,10
"374",0,0,0,9
"375",0,0,0,15
"376",0,0,0,18
"377",0,0,0,8
"378",0,0,0,9
"379",0,0,0,8
"380",0,0,0,10
"381",0,0,0,17
"382",0,0,0,7
"383",0,0,0,8
"384",0,0,0,14
"385",0,0,0,11
"386",0,0,0,12
"387",0,0,0,2
"388",0,0,0,11
"389",0,0,0,12
"390",0,0,0,8
"391",0,0,0,6
"392",0,0,0,12
