"";"pp";"counterbalance";"blockNum";"trialNum";"rt";"Response";"Attempt";"error";"Timed.Out";"ANSWER";"cuecolor";"framecolor";"task";"stimulus";"cocoa";"task_R";"ANSWER_R";"cuecolor_R";"error_R"
"46870";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";2;69;876,584999998333;"L";1;0;NA;"L";"blue";"black";"magnit";2;0;1;1;0;0
"46874";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";2;70;594,940000002738;"A";1;0;NA;"A";"blue";"black";"magnit";9;0;0;1;0;0
"46878";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";2;71;895,360000002198;"L";1;0;NA;"L";"red";"black";"parity";8;0;1;1;1;0
"46882";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";2;72;1201,70499999938;"A";1;0;NA;"A";"blue";"black";"magnit";9;0;1;1;1;0
"46886";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";2;73;627,025000001537;"A";1;0;NA;"A";"blue";"black";"magnit";7;0;0;0;0;0
"46890";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";2;74;1043,74999999721;"A";1;0;NA;"A";"blue";"black";"magnit";6;0;0;0;0;0
"46894";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";2;75;702,219999999274;"L";1;0;NA;"L";"blue";"black";"parity";4;0;1;1;0;0
"46898";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";2;76;931,685000003083;"A";1;0;NA;"A";"red";"black";"magnit";6;0;1;1;1;0
"46902";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";2;77;1029,31499999971;"A";1;0;NA;"A";"blue";"black";"parity";7;0;1;0;1;0
"46906";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";2;78;1220,5549999997;"L";1;0;NA;"L";"red";"black";"parity";4;0;0;1;1;0
"46910";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";2;79;650,030000004452;"L";1;0;NA;"L";"red";"black";"parity";6;0;0;0;0;0
"46914";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";2;80;864,470000000438;"A";1;0;NA;"A";"red";"black";"magnit";7;0;1;1;0;0
"46918";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";2;81;774,450000004377;"A";1;0;NA;"A";"red";"black";"magnit";9;0;0;0;0;0
"46922";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";2;82;679,705000002403;"L";1;0;NA;"L";"red";"black";"parity";4;0;1;1;0;0
"46926";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";2;83;600,279999998864;"L";1;0;NA;"L";"red";"black";"parity";2;0;0;0;0;0
"46930";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";2;84;650,345000002068;"A";1;0;NA;"A";"blue";"black";"parity";3;0;0;1;1;0
"46934";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";2;85;681,540000004927;"A";1;0;NA;"A";"blue";"black";"parity";9;0;0;0;0;0
"46938";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";2;86;665,489999999525;"A";1;0;NA;"A";"red";"black";"parity";7;0;0;0;1;0
