Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;counterbalance-9qvq;checkpoint-ngg1;checkpoint-nubw;checkpoint-t5ey;Question Key;Response
15;1591193800494;03/06/2020 14:16:40;1591193797514;2;03/06/2020 16:16:37;18619;2;questionnaire-b579;;5290490;5e53d2941b233d02960a0dde;1490396;;complete;;5ed7ab04b8c163256b41d9b4;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x937;demographics done;demographic;4;BRAC2_horiLA_1st0;Consents given;exp done;demographics done;END QUESTIONNAIRE;69921
1;1591193776406;03/06/2020 14:16:16;1591193768689;2;03/06/2020 16:16:08;18619;2;questionnaire-b579;;5290506;5cd422b7e62009001b03f107;1490370;;complete;;5ed7aa4e9a8d5023bc87ef71;computer;Desktop or Laptop;Windows 7;Chrome 65.0.0.1617;1920x1080;1920x1080;demographics done;demographic;4;BRAC2_horiLL_1st300;Consents given;exp done;demographics done;BEGIN QUESTIONNAIRE;
2;1591193874497;03/06/2020 14:17:54;1591193866672;2;03/06/2020 16:17:46;18619;2;questionnaire-b579;;5290506;5cd422b7e62009001b03f107;1490370;;complete;;5ed7aa4e9a8d5023bc87ef71;computer;Desktop or Laptop;Windows 7;Chrome 65.0.0.1617;1920x1080;1903x1080;demographics done;demographic;4;BRAC2_horiLL_1st300;Consents given;exp done;demographics done;response-3;polish
3;1591193874497;03/06/2020 14:17:54;1591193866672;2;03/06/2020 16:17:46;18619;2;questionnaire-b579;;5290506;5cd422b7e62009001b03f107;1490370;;complete;;5ed7aa4e9a8d5023bc87ef71;computer;Desktop or Laptop;Windows 7;Chrome 65.0.0.1617;1920x1080;1903x1080;demographics done;demographic;4;BRAC2_horiLL_1st300;Consents given;exp done;demographics done;sex-quantised;1
4;1591193874497;03/06/2020 14:17:54;1591193866672;2;03/06/2020 16:17:46;18619;2;questionnaire-b579;;5290506;5cd422b7e62009001b03f107;1490370;;complete;;5ed7aa4e9a8d5023bc87ef71;computer;Desktop or Laptop;Windows 7;Chrome 65.0.0.1617;1920x1080;1903x1080;demographics done;demographic;4;BRAC2_horiLL_1st300;Consents given;exp done;demographics done;age;19
5;1591193874497;03/06/2020 14:17:54;1591193866672;2;03/06/2020 16:17:46;18619;2;questionnaire-b579;;5290506;5cd422b7e62009001b03f107;1490370;;complete;;5ed7aa4e9a8d5023bc87ef71;computer;Desktop or Laptop;Windows 7;Chrome 65.0.0.1617;1920x1080;1903x1080;demographics done;demographic;4;BRAC2_horiLL_1st300;Consents given;exp done;demographics done;response-2;left-handed
6;1591193874497;03/06/2020 14:17:54;1591193866672;2;03/06/2020 16:17:46;18619;2;questionnaire-b579;;5290506;5cd422b7e62009001b03f107;1490370;;complete;;5ed7aa4e9a8d5023bc87ef71;computer;Desktop or Laptop;Windows 7;Chrome 65.0.0.1617;1920x1080;1903x1080;demographics done;demographic;4;BRAC2_horiLL_1st300;Consents given;exp done;demographics done;response-2-quantised;2
7;1591193874497;03/06/2020 14:17:54;1591193866672;2;03/06/2020 16:17:46;18619;2;questionnaire-b579;;5290506;5cd422b7e62009001b03f107;1490370;;complete;;5ed7aa4e9a8d5023bc87ef71;computer;Desktop or Laptop;Windows 7;Chrome 65.0.0.1617;1920x1080;1903x1080;demographics done;demographic;4;BRAC2_horiLL_1st300;Consents given;exp done;demographics done;response-2-text;
8;1591193874357;03/06/2020 14:17:54;1591193866672;2;03/06/2020 16:17:46;18619;2;questionnaire-b579;;5290506;5cd422b7e62009001b03f107;1490370;;complete;;5ed7aa4e9a8d5023bc87ef71;computer;Desktop or Laptop;Windows 7;Chrome 65.0.0.1617;1920x1080;1903x1080;demographics done;demographic;4;BRAC2_horiLL_1st300;Consents given;exp done;demographics done;sex;male
9;1591193874497;03/06/2020 14:17:54;1591193866672;2;03/06/2020 16:17:46;18619;2;questionnaire-b579;;5290506;5cd422b7e62009001b03f107;1490370;;complete;;5ed7aa4e9a8d5023bc87ef71;computer;Desktop or Laptop;Windows 7;Chrome 65.0.0.1617;1920x1080;1903x1080;demographics done;demographic;4;BRAC2_horiLL_1st300;Consents given;exp done;demographics done;country;Poland
