"pp";"task_R";"correctResp_R";"context_R";"cocoa";"age";"sex";"version";"meanerror";"n";"se"
"20";"0";"1";"1";"0";26;"f";"lab";0;49;0
"20";"0";"1";"1";"300";26;"f";"lab";0,02;50;0,02
"20";"1";"0";"0";"0";26;"f";"lab";0,0285714285714286;35;0,0285714285714286
"20";"1";"0";"0";"300";26;"f";"lab";0,0232558139534884;43;0,0232558139534884
"20";"1";"0";"1";"0";26;"f";"lab";0,0158730158730159;63;0,0158730158730159
"20";"1";"0";"1";"300";26;"f";"lab";0,0204081632653061;49;0,0204081632653061
"20";"1";"1";"0";"0";26;"f";"lab";0;51;0
"20";"1";"1";"0";"300";26;"f";"lab";0,0208333333333333;48;0,0208333333333333
"20";"1";"1";"1";"0";26;"f";"lab";0;34;0
"20";"1";"1";"1";"300";26;"f";"lab";0,0363636363636364;55;0,0254737782079161
"21";"0";"0";"0";"0";26;"m";"lab";0,0652173913043478;46;0,0368070292730443
"21";"0";"0";"0";"300";26;"m";"lab";0,242424242424242;33;0,0757575757575758
"21";"0";"0";"1";"0";26;"m";"lab";0,157894736842105;38;0,0599468207843684
"21";"0";"0";"1";"300";26;"m";"lab";0,0810810810810811;37;0,0454932654881175
"21";"0";"1";"0";"0";26;"m";"lab";0,153846153846154;52;0,0505222751868604
"21";"0";"1";"0";"300";26;"m";"lab";0,0983606557377049;61;0,0384460308182248
"21";"0";"1";"1";"0";26;"m";"lab";0,0612244897959184;49;0,0346037244037003
"21";"0";"1";"1";"300";26;"m";"lab";0,135593220338983;59;0,0449535582069653
"21";"1";"0";"0";"0";26;"m";"lab";0,136363636363636;44;0,0523335889830299
"21";"1";"0";"0";"300";26;"m";"lab";0,254901960784314;51;0,0616322888058891
"21";"1";"0";"1";"0";26;"m";"lab";0,112903225806452;62;0,0405204031603568
"21";"1";"0";"1";"300";26;"m";"lab";0,05;40;0,0348991220226056
"21";"1";"1";"0";"0";26;"m";"lab";0,024390243902439;41;0,024390243902439
"21";"1";"1";"0";"300";26;"m";"lab";0,111111111111111;45;0,0473779369679134
"21";"1";"1";"1";"0";26;"m";"lab";0,166666666666667;48;0,0543606727544535
"21";"1";"1";"1";"300";26;"m";"lab";0,037037037037037;54;0,0259408961471287
"22";"0";"0";"0";"0";30;"m";"lab";0,0227272727272727;44;0,0227272727272727
"22";"0";"0";"0";"300";30;"m";"lab";0;32;0
"22";"0";"0";"1";"0";30;"m";"lab";0,027027027027027;37;0,027027027027027
"22";"0";"0";"1";"300";30;"m";"lab";0,0196078431372549;51;0,0196078431372549
"22";"0";"1";"0";"0";30;"m";"lab";0,0454545454545455;66;0,0258362981844911
"22";"0";"1";"0";"300";30;"m";"lab";0,0689655172413793;58;0,033563052647744
"22";"0";"1";"1";"0";30;"m";"lab";0,0166666666666667;60;0,0166666666666667
"22";"0";"1";"1";"300";30;"m";"lab";0,0740740740740741;54;0,0359735504576765
"22";"1";"0";"0";"0";30;"m";"lab";0,105263157894737;38;0,0504527677125696
"22";"1";"0";"0";"300";30;"m";"lab";0,15;40;0,0571771874896866
"22";"1";"0";"1";"0";30;"m";"lab";0,0851063829787234;47;0,0411421941867476
"22";"1";"0";"1";"300";30;"m";"lab";0,0681818181818182;44;0,0384384309420226
"22";"1";"1";"0";"0";30;"m";"lab";0,0454545454545455;44;0,031765283723714
"22";"1";"1";"0";"300";30;"m";"lab";0,075;40;0,0421763696143487
"22";"1";"1";"1";"0";30;"m";"lab";0,0227272727272727;44;0,0227272727272727
"22";"1";"1";"1";"300";30;"m";"lab";0,0491803278688525;61;0,0279170268293875
"23";"0";"0";"0";"0";28;"m";"lab";0;43;0
"23";"0";"0";"0";"300";28;"m";"lab";0,0625;48;0,035308292679127
"23";"0";"0";"1";"0";28;"m";"lab";0,1;40;0,0480384461415261
"23";"0";"0";"1";"300";28;"m";"lab";0,0416666666666667;48;0,029147663515556
"23";"0";"1";"0";"0";28;"m";"lab";0,0169491525423729;59;0,0169491525423729
"23";"0";"1";"0";"300";28;"m";"lab";0,0149253731343284;67;0,0149253731343284
"23";"0";"1";"1";"0";28;"m";"lab";0;60;0
"23";"0";"1";"1";"300";28;"m";"lab";0,0444444444444444;45;0,0310677909075347
"23";"1";"0";"0";"0";28;"m";"lab";0,0196078431372549;51;0,0196078431372549
"23";"1";"0";"0";"300";28;"m";"lab";0,025;40;0,025
"23";"1";"0";"1";"0";28;"m";"lab";0,0227272727272727;44;0,0227272727272727
"23";"1";"0";"1";"300";28;"m";"lab";0;43;0
"23";"1";"1";"0";"0";28;"m";"lab";0;47;0
"23";"1";"1";"0";"300";28;"m";"lab";0,0540540540540541;37;0,037687388582616
"23";"1";"1";"1";"0";28;"m";"lab";0,0277777777777778;36;0,0277777777777778
"23";"1";"1";"1";"300";28;"m";"lab";0;52;0
"24";"0";"0";"0";"0";26;"m";"lab";0,27906976744186;43;0,069211517129567
"24";"0";"0";"0";"300";26;"m";"lab";0,189189189189189;37;0,0652764718296822
"24";"0";"0";"1";"0";26;"m";"lab";0,172413793103448;29;0,0713860923457608
"24";"0";"0";"1";"300";26;"m";"lab";0,103448275862069;29;0,0575533076135366
"24";"0";"1";"0";"0";26;"m";"lab";0,15625;64;0,0457453159194625
