Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;checkpoint-ngg1;checkpoint-nubw;checkpoint-t5ey;counterbalance-7ip1;counterbalance-a7a6;Question Key;Response
8;1593766338420;03/07/2020 08:52:18;1593766338076;2;03/07/2020 10:52:18;18619;3;questionnaire-b579;;5881782;5eba67eb17a5461ab1182c5a;1655957;;complete;;5efeebb0f7f70b406805b911;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1366x768;1349x657;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;;response-3;Italian
9;1593766338420;03/07/2020 08:52:18;1593766338076;2;03/07/2020 10:52:18;18619;3;questionnaire-b579;;5881782;5eba67eb17a5461ab1182c5a;1655957;;complete;;5efeebb0f7f70b406805b911;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1366x768;1349x657;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;;country;Italy
10;1593766338420;03/07/2020 08:52:18;1593766338077;2;03/07/2020 10:52:18;18619;3;questionnaire-b579;;5881782;5eba67eb17a5461ab1182c5a;1655957;;complete;;5efeebb0f7f70b406805b911;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1366x768;1349x657;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;;education;Bachelor degree
11;1593766338420;03/07/2020 08:52:18;1593766338077;2;03/07/2020 10:52:18;18619;3;questionnaire-b579;;5881782;5eba67eb17a5461ab1182c5a;1655957;;complete;;5efeebb0f7f70b406805b911;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1366x768;1349x657;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;;education-quantised;5
12;1593766338420;03/07/2020 08:52:18;1593766338077;2;03/07/2020 10:52:18;18619;3;questionnaire-b579;;5881782;5eba67eb17a5461ab1182c5a;1655957;;complete;;5efeebb0f7f70b406805b911;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1366x768;1349x657;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;;psyKnowledge;Not at all
13;1593766338420;03/07/2020 08:52:18;1593766338077;2;03/07/2020 10:52:18;18619;3;questionnaire-b579;;5881782;5eba67eb17a5461ab1182c5a;1655957;;complete;;5efeebb0f7f70b406805b911;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1366x768;1349x657;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;;psyKnowledge-quantised;1
14;1593766338420;03/07/2020 08:52:18;1593766338077;2;03/07/2020 10:52:18;18619;3;questionnaire-b579;;5881782;5eba67eb17a5461ab1182c5a;1655957;;complete;;5efeebb0f7f70b406805b911;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1366x768;1349x657;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;;comment;
15;1593766338420;03/07/2020 08:52:18;1593766338078;2;03/07/2020 10:52:18;18619;3;questionnaire-b579;;5881782;5eba67eb17a5461ab1182c5a;1655957;;complete;;5efeebb0f7f70b406805b911;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1366x768;1349x657;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;;END QUESTIONNAIRE;37643
1;1593766306961;03/07/2020 08:51:46;1593766306889;1;03/07/2020 09:51:46;18619;3;questionnaire-b579;;5881784;5c19f2319bce3100018a67ba;1655956;;complete;;5efeebb24edd91016adf79fe;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1536x864;1536x722;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_vertAA_1st300;;BEGIN QUESTIONNAIRE;
2;1593766362935;03/07/2020 08:52:42;1593766362913;1;03/07/2020 09:52:42;18619;3;questionnaire-b579;;5881784;5c19f2319bce3100018a67ba;1655956;;complete;;5efeebb24edd91016adf79fe;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1536x864;1519x722;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_vertAA_1st300;;sex;male
