"pp";"task_R";"correctResp_R";"context_R";"cocoa";"age";"sex";"version";"meanrt";"n";"se"
"16";"1";"1";"1";"300";22;"f";"lab";876,973005441519;52;58,6293553774088
"17";"0";"0";"0";"0";29;"f";"lab";513,272768742329;37;15,30052471455
"17";"0";"0";"0";"300";29;"f";"lab";527,924558851454;45;15,229024278279
"17";"0";"0";"1";"0";29;"f";"lab";554,718910261642;43;17,0478519147128
"17";"0";"0";"1";"300";29;"f";"lab";594,647246599197;40;36,985123819943
"17";"0";"1";"0";"0";29;"f";"lab";580,713050118808;58;29,3234258677876
"17";"0";"1";"0";"300";29;"f";"lab";572,682086811509;43;24,1494780398077
"17";"0";"1";"1";"0";29;"f";"lab";541,372214423286;45;21,2524240564602
"17";"0";"1";"1";"300";29;"f";"lab";569,002134459359;56;19,6305131297623
"17";"1";"0";"0";"0";29;"f";"lab";577,420653366461;41;32,4425678252132
"17";"1";"0";"0";"300";29;"f";"lab";593,861876793627;53;33,0512694293728
"17";"1";"0";"1";"0";29;"f";"lab";571,920680999756;45;24,308114952131
"17";"1";"0";"1";"300";29;"f";"lab";552,993817762895;33;32,4661622281633
"17";"1";"1";"0";"0";29;"f";"lab";533,254857496782;55;26,6891097909654
"17";"1";"1";"0";"300";29;"f";"lab";505,613343282179;44;17,4446577459228
"17";"1";"1";"1";"0";29;"f";"lab";590,481589480144;41;40,0429353853323
"17";"1";"1";"1";"300";29;"f";"lab";500,632066726685;50;23,3946325428129
"18";"0";"0";"0";"0";19;"f";"lab";826,953347136335;41;85,069018004982
"18";"0";"0";"0";"300";19;"f";"lab";842,802211973403;45;75,3124548671848
"18";"0";"0";"1";"0";19;"f";"lab";698,109570969926;47;54,8077185256668
"18";"0";"0";"1";"300";19;"f";"lab";825,409425629509;36;77,321332885824
"18";"0";"1";"0";"0";19;"f";"lab";834,081909391615;45;73,6899829369816
"18";"0";"1";"0";"300";19;"f";"lab";882,665830850601;40;79,0136145931245
"18";"0";"1";"1";"0";19;"f";"lab";777,835016665251;46;64,6279196167052
"18";"0";"1";"1";"300";19;"f";"lab";765,839055527088;43;61,5307338441395
"18";"1";"0";"0";"0";19;"f";"lab";928,223311901093;52;69,9292454151483
"18";"1";"0";"0";"300";19;"f";"lab";1030,30207482251;44;78,879974814907
"18";"1";"0";"1";"0";19;"f";"lab";925,042945146561;40;87,3922415602914
"18";"1";"0";"1";"300";19;"f";"lab";910,216196989402;39;79,5595183908668
"18";"1";"1";"0";"0";19;"f";"lab";811,156749725342;46;59,2694549592247
"18";"1";"1";"0";"300";19;"f";"lab";850,290644736517;42;64,2006332649263
"18";"1";"1";"1";"0";19;"f";"lab";1009,53385747712;29;107,353887992313
"18";"1";"1";"1";"300";19;"f";"lab";955,723042390784;49;69,177940093139
"19";"0";"0";"0";"0";22;"m";"lab";549,281078836192;46;30,1855186312842
"19";"0";"0";"0";"300";22;"m";"lab";524,493286484166;38;30,229356311982
"19";"0";"0";"1";"0";22;"m";"lab";523,54253593244;38;32,7252273250438
"19";"0";"0";"1";"300";22;"m";"lab";572,310137194257;43;27,1986971882983
"19";"0";"1";"0";"0";22;"m";"lab";634,920998623497;57;48,2956987747394
"19";"0";"1";"0";"300";22;"m";"lab";612,265978919135;45;42,5752400334903
"19";"0";"1";"1";"0";22;"m";"lab";660,652146889613;52;49,8960550440139
"19";"0";"1";"1";"300";22;"m";"lab";621,831015304283;54;31,0659653940093
"19";"1";"0";"0";"0";22;"m";"lab";747,600981167384;42;59,7195026529018
"19";"1";"0";"0";"300";22;"m";"lab";650,279491375654;39;44,5227887099782
"19";"1";"0";"1";"0";22;"m";"lab";672,982071575366;38;51,0905405640291
"19";"1";"0";"1";"300";22;"m";"lab";562,035767237345;45;28,9366327751403
"19";"1";"1";"0";"0";22;"m";"lab";719,692289829254;48;48,1424617998404
"19";"1";"1";"0";"300";22;"m";"lab";599,521327437016;57;29,9032260443984
"19";"1";"1";"1";"0";22;"m";"lab";654,507577419281;40;47,0709187607327
"19";"1";"1";"1";"300";22;"m";"lab";581,1450752345;44;29,8752642323534
"2";"0";"0";"0";"0";19;"f";"lab";680,363331085597;39;41,0131821110242
"2";"0";"0";"0";"300";19;"f";"lab";664,993042037601;42;30,2478370645124
"2";"0";"0";"1";"0";19;"f";"lab";656,580799818039;40;36,8775457146535
"2";"0";"0";"1";"300";19;"f";"lab";723,07961238058;38;58,9882660625942
"2";"0";"1";"0";"0";19;"f";"lab";725,981872815352;52;35,885314644113
"2";"0";"1";"0";"300";19;"f";"lab";654,381185107761;45;41,9953210346334
"2";"0";"1";"1";"0";19;"f";"lab";564,686274528503;40;24,6858150617043
"2";"0";"1";"1";"300";19;"f";"lab";787,951119740804;45;68,578874503999
"2";"1";"0";"0";"0";19;"f";"lab";760,238463538034;35;65,3645161973404
"2";"1";"0";"0";"300";19;"f";"lab";728,973792658912;36;55,5235752561822
"2";"1";"0";"1";"0";19;"f";"lab";712,294434392175;43;51,7144010314469
"2";"1";"0";"1";"300";19;"f";"lab";842,081385689813;37;67,1363047736695
"2";"1";"1";"0";"0";19;"f";"lab";759,581144039448;39;53,6206202699667
"2";"1";"1";"0";"300";19;"f";"lab";721,469019398545;33;72,2088576063054
"2";"1";"1";"1";"0";19;"f";"lab";716,513601216403;44;56,1192523150432
"2";"1";"1";"1";"300";19;"f";"lab";733,144359385713;47;53,7480555736371
"20";"0";"0";"0";"0";26;"f";"lab";609,331488609314;46;30,749785938396
"20";"0";"0";"0";"300";26;"f";"lab";672,537370731956;38;45,2556015485414
"20";"0";"0";"1";"0";26;"f";"lab";597,056774382896;47;23,6863868186538
"20";"0";"0";"1";"300";26;"f";"lab";624,010530678001;37;31,780606978621
"20";"0";"1";"0";"0";26;"f";"lab";586,279056690357;54;25,4751445689695
"20";"0";"1";"0";"300";26;"f";"lab";654,352632619567;59;24,053292632865
"20";"0";"1";"1";"0";26;"f";"lab";593,407541513443;48;27,4489614865234
"20";"0";"1";"1";"300";26;"f";"lab";691,436320543289;48;40,3795275109042
"20";"1";"0";"0";"0";26;"f";"lab";691,673334907083;34;40,9263245388516
"20";"1";"0";"0";"300";26;"f";"lab";764,952496784489;41;44,8966956277933
"20";"1";"0";"1";"0";26;"f";"lab";613,964892202808;62;23,0065013595428
"20";"1";"0";"1";"300";26;"f";"lab";778,918382969309;47;54,9690569689345
"20";"1";"1";"0";"0";26;"f";"lab";649,536020615522;51;30,2502620973904
"20";"1";"1";"0";"300";26;"f";"lab";673,399387521947;47;34,9143849274181
"20";"1";"1";"1";"0";26;"f";"lab";637,51635130714;34;33,2152353113156
"20";"1";"1";"1";"300";26;"f";"lab";704,047271838555;52;38,6180374634615
"21";"0";"0";"0";"0";26;"m";"lab";924,147264377491;37;67,8561598986508
"21";"0";"0";"0";"300";26;"m";"lab";938,661813735961;23;72,3772045207482
"21";"0";"0";"1";"0";26;"m";"lab";914,828062057494;28;78,6948046299682
"21";"0";"0";"1";"300";26;"m";"lab";1040,48241774241;30;84,9885904904064
"21";"0";"1";"0";"0";26;"m";"lab";1056,84944987297;40;68,8193613311157
"21";"0";"1";"0";"300";26;"m";"lab";1023,19582303365;48;59,4363433910359
"21";"0";"1";"1";"0";26;"m";"lab";987,43312786787;39;73,9727010312351
"21";"0";"1";"1";"300";26;"m";"lab";1082,08870887756;43;72,2205948566206
"21";"1";"0";"0";"0";26;"m";"lab";968,222518761953;36;60,6205888808678
"21";"1";"0";"0";"300";26;"m";"lab";1095,97620543312;34;62,8675878734701
"21";"1";"0";"1";"0";26;"m";"lab";1178,11066689699;46;59,3760736442964
"21";"1";"0";"1";"300";26;"m";"lab";1084,10780660568;31;71,1068541907445
"21";"1";"1";"0";"0";26;"m";"lab";1143,78223699682;34;84,4957411523343
"21";"1";"1";"0";"300";26;"m";"lab";1079,57821422153;36;70,191573408671
"21";"1";"1";"1";"0";26;"m";"lab";1169,97462349969;37;67,8840933431949
"21";"1";"1";"1";"300";26;"m";"lab";1121,6131521731;49;59,7683792908153
"22";"0";"0";"0";"0";30;"m";"lab";927,899926900863;40;52,8514659507829
"22";"0";"0";"0";"300";30;"m";"lab";1112,87407875061;30;91,740526410471
"22";"0";"0";"1";"0";30;"m";"lab";1050,34078189305;35;77,2185573211201
"22";"0";"0";"1";"300";30;"m";"lab";1060,53679188093;48;62,11182718644
"22";"0";"1";"0";"0";30;"m";"lab";1062,46746954371;61;52,659964066118
"22";"0";"1";"0";"300";30;"m";"lab";1088,8427659577;51;58,5725611974274
"22";"0";"1";"1";"0";30;"m";"lab";1155,16760893035;57;56,7286822221567
"22";"0";"1";"1";"300";30;"m";"lab";1144,4653722975;45;62,4141466955767
"22";"1";"0";"0";"0";30;"m";"lab";1296,62127354566;34;78,8138834849725
"22";"1";"0";"0";"300";30;"m";"lab";1257,87747267521;33;78,5525610190532
"22";"1";"0";"1";"0";30;"m";"lab";1203,05715537653;41;70,1483638069361
"22";"1";"0";"1";"300";30;"m";"lab";1229,69118952751;40;60,1972409361051
"22";"1";"1";"0";"0";30;"m";"lab";1370,6868827343;40;66,272071885057
"22";"1";"1";"0";"300";30;"m";"lab";1332,03685984892;34;95,8732561114562
"22";"1";"1";"1";"0";30;"m";"lab";1219,02932524681;40;68,9010797935756
"22";"1";"1";"1";"300";30;"m";"lab";1372,75281217363;54;70,1215054511163
"23";"0";"0";"0";"0";28;"m";"lab";537,456052643912;42;18,0346450430353
"23";"0";"0";"0";"300";28;"m";"lab";503,273828463121;44;16,3647056626567
"23";"0";"0";"1";"0";28;"m";"lab";583,689232667287;36;22,253377783065
"23";"0";"0";"1";"300";28;"m";"lab";562,983013862787;43;25,334103858329
"23";"0";"1";"0";"0";28;"m";"lab";609,84554035323;56;18,5354320888575
"23";"0";"1";"0";"300";28;"m";"lab";617,06458238455;65;29,7405485662916
"23";"0";"1";"1";"0";28;"m";"lab";565,177432561325;59;17,1898405868386
"23";"0";"1";"1";"300";28;"m";"lab";567,736983299255;42;26,628809349424
"23";"1";"0";"0";"0";28;"m";"lab";585,616192919143;47;26,5975335999976
"23";"1";"0";"0";"300";28;"m";"lab";554,679506703427;38;30,0807368363646
"23";"1";"0";"1";"0";28;"m";"lab";630,983862766;43;24,9927061005649
"23";"1";"0";"1";"300";28;"m";"lab";555,854669837065;43;38,3679702081882
"23";"1";"1";"0";"0";28;"m";"lab";558,073206150785;47;18,5415966437831
"23";"1";"1";"0";"300";28;"m";"lab";593,731866163366;34;27,16011396122
"23";"1";"1";"1";"0";28;"m";"lab";586,857403025908;34;25,2266887609898
"23";"1";"1";"1";"300";28;"m";"lab";598,325204849243;50;25,6140970883029
"24";"0";"0";"0";"0";26;"m";"lab";691,873917977015;24;97,0044007197496
