Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;counterbalance-9qvq;checkpoint-4d69;checkpoint-tucj;checkpoint-7y1f;Question Key;Response
10;1590495785879;26/05/2020 12:23:05;1590495785647;2;26/05/2020 14:23:05;17308;16;questionnaire-89vf;;5141890;GM4;1450057;;complete;dxhnsc;;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 13.1;1440x900;1440x837;after demographic;demographic;4;BRAC1_horiAL_1st0;after consent;after task;after demographic;education;High school diploma
11;1590495785879;26/05/2020 12:23:05;1590495785647;2;26/05/2020 14:23:05;17308;16;questionnaire-89vf;;5141890;GM4;1450057;;complete;dxhnsc;;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 13.1;1440x900;1440x837;after demographic;demographic;4;BRAC1_horiAL_1st0;after consent;after task;after demographic;education-quantised;3
12;1590495785879;26/05/2020 12:23:05;1590495785647;2;26/05/2020 14:23:05;17308;16;questionnaire-89vf;;5141890;GM4;1450057;;complete;dxhnsc;;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 13.1;1440x900;1440x837;after demographic;demographic;4;BRAC1_horiAL_1st0;after consent;after task;after demographic;psyKnowledge;Not at all
13;1590495785879;26/05/2020 12:23:05;1590495785647;2;26/05/2020 14:23:05;17308;16;questionnaire-89vf;;5141890;GM4;1450057;;complete;dxhnsc;;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 13.1;1440x900;1440x837;after demographic;demographic;4;BRAC1_horiAL_1st0;after consent;after task;after demographic;psyKnowledge-quantised;1
14;1590495785879;26/05/2020 12:23:05;1590495785647;2;26/05/2020 14:23:05;17308;16;questionnaire-89vf;;5141890;GM4;1450057;;complete;dxhnsc;;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 13.1;1440x900;1440x837;after demographic;demographic;4;BRAC1_horiAL_1st0;after consent;after task;after demographic;comment;
15;1590495785879;26/05/2020 12:23:05;1590495785647;2;26/05/2020 14:23:05;17308;16;questionnaire-89vf;;5141890;GM4;1450057;;complete;dxhnsc;;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 13.1;1440x900;1440x837;after demographic;demographic;4;BRAC1_horiAL_1st0;after consent;after task;after demographic;response-3;Kurdish
1;1590515250972;26/05/2020 17:47:30;1590515247831;2;26/05/2020 19:47:27;17308;16;questionnaire-89vf;;5146989;UG7;1454090;;complete;uhpezn;;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1280x720;1280x578;after demographic;demographic;4;BRAC1_vertAA_1st0;after consent;after task;after demographic;BEGIN QUESTIONNAIRE;
2;1590515433933;26/05/2020 17:50:33;1590515430718;2;26/05/2020 19:50:30;17308;16;questionnaire-89vf;;5146989;UG7;1454090;;complete;uhpezn;;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1280x720;1263x578;after demographic;demographic;4;BRAC1_vertAA_1st0;after consent;after task;after demographic;sex;male
3;1590515434042;26/05/2020 17:50:34;1590515430725;2;26/05/2020 19:50:30;17308;16;questionnaire-89vf;;5146989;UG7;1454090;;complete;uhpezn;;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1280x720;1263x578;after demographic;demographic;4;BRAC1_vertAA_1st0;after consent;after task;after demographic;sex-quantised;1
4;1590515434042;26/05/2020 17:50:34;1590515430725;2;26/05/2020 19:50:30;17308;16;questionnaire-89vf;;5146989;UG7;1454090;;complete;uhpezn;;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1280x720;1263x578;after demographic;demographic;4;BRAC1_vertAA_1st0;after consent;after task;after demographic;age;24
5;1590515434042;26/05/2020 17:50:34;1590515430725;2;26/05/2020 19:50:30;17308;16;questionnaire-89vf;;5146989;UG7;1454090;;complete;uhpezn;;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1280x720;1263x578;after demographic;demographic;4;BRAC1_vertAA_1st0;after consent;after task;after demographic;response-2;left-handed
6;1590515434042;26/05/2020 17:50:34;1590515430726;2;26/05/2020 19:50:30;17308;16;questionnaire-89vf;;5146989;UG7;1454090;;complete;uhpezn;;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1280x720;1263x578;after demographic;demographic;4;BRAC1_vertAA_1st0;after consent;after task;after demographic;response-2-quantised;2
7;1590515434042;26/05/2020 17:50:34;1590515430726;2;26/05/2020 19:50:30;17308;16;questionnaire-89vf;;5146989;UG7;1454090;;complete;uhpezn;;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1280x720;1263x578;after demographic;demographic;4;BRAC1_vertAA_1st0;after consent;after task;after demographic;response-2-text;
8;1590515434042;26/05/2020 17:50:34;1590515430726;2;26/05/2020 19:50:30;17308;16;questionnaire-89vf;;5146989;UG7;1454090;;complete;uhpezn;;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1280x720;1263x578;after demographic;demographic;4;BRAC1_vertAA_1st0;after consent;after task;after demographic;response-3;German
9;1590515434042;26/05/2020 17:50:34;1590515430726;2;26/05/2020 19:50:30;17308;16;questionnaire-89vf;;5146989;UG7;1454090;;complete;uhpezn;;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1280x720;1263x578;after demographic;demographic;4;BRAC1_vertAA_1st0;after consent;after task;after demographic;country;Germany
10;1590515434042;26/05/2020 17:50:34;1590515430726;2;26/05/2020 19:50:30;17308;16;questionnaire-89vf;;5146989;UG7;1454090;;complete;uhpezn;;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1280x720;1263x578;after demographic;demographic;4;BRAC1_vertAA_1st0;after consent;after task;after demographic;education;Some university/higher education but no degree
11;1590515434042;26/05/2020 17:50:34;1590515430727;2;26/05/2020 19:50:30;17308;16;questionnaire-89vf;;5146989;UG7;1454090;;complete;uhpezn;;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1280x720;1263x578;after demographic;demographic;4;BRAC1_vertAA_1st0;after consent;after task;after demographic;education-quantised;4
12;1590515434042;26/05/2020 17:50:34;1590515430727;2;26/05/2020 19:50:30;17308;16;questionnaire-89vf;;5146989;UG7;1454090;;complete;uhpezn;;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1280x720;1263x578;after demographic;demographic;4;BRAC1_vertAA_1st0;after consent;after task;after demographic;psyKnowledge;I've studied at least one of these disciplines (school or university)
13;1590515434042;26/05/2020 17:50:34;1590515430727;2;26/05/2020 19:50:30;17308;16;questionnaire-89vf;;5146989;UG7;1454090;;complete;uhpezn;;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1280x720;1263x578;after demographic;demographic;4;BRAC1_vertAA_1st0;after consent;after task;after demographic;psyKnowledge-quantised;3
