"pp";"counterbalance";"blockNum";"trialNum";"rt";"Response";"Attempt";"error";"Timed.Out";"ANSWER";"cuecolor";"framecolor";"task";"stimulus";"cocoa";"Participant.OS";"Participant.Browser";"ppViewportSize";"task_R";"ANSWER_R";"framecolor_R";"error_R";"age";"sex";"psyKnowledge";"education";"handedness";"motherTongue";"country"
"PJ6";"BRAC2_vertAA_1st300";0;13;465,094999999623;"A";1;0;NA;"A";"black";"red";"magnit";7;300;"MacOs";"Chrome";"1440x697";1;1;1;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;14;643,329999999027;"L";1;0;NA;"L";"black";"blue";"magnit";2;300;"MacOs";"Chrome";"1440x697";0;1;1;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;15;647,124999995809;"L";1;0;NA;"L";"black";"red";"parity";8;300;"MacOs";"Chrome";"1440x697";1;0;1;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;16;615,83999999857;"A";1;0;NA;"A";"black";"red";"magnit";7;300;"MacOs";"Chrome";"1440x697";1;1;0;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;17;397,839999997872;"L";1;0;NA;"L";"black";"red";"parity";4;300;"MacOs";"Chrome";"1440x697";1;1;0;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;18;731,015000004787;"L";1;1;NA;"A";"black";"blue";"magnit";8;300;"MacOs";"Chrome";"1440x697";1;1;1;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;19;766,545000005979;"A";1;0;NA;"A";"black";"red";"parity";9;300;"MacOs";"Chrome";"1440x697";1;0;1;1;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;20;742,315000003087;"L";1;1;NA;"A";"black";"blue";"parity";3;300;"MacOs";"Chrome";"1440x697";0;0;1;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;21;549,735000000568;"A";1;0;NA;"A";"black";"blue";"parity";9;300;"MacOs";"Chrome";"1440x697";0;0;0;1;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;22;618,369999996386;"A";1;0;NA;"A";"black";"red";"parity";3;300;"MacOs";"Chrome";"1440x697";0;0;1;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;23;447,919999998645;"A";1;0;NA;"A";"black";"blue";"parity";9;300;"MacOs";"Chrome";"1440x697";0;0;1;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;24;560,410000005504;"L";1;0;NA;"L";"black";"blue";"parity";8;300;"MacOs";"Chrome";"1440x697";0;1;0;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;25;535,234999995679;"A";1;0;NA;"A";"black";"blue";"parity";7;300;"MacOs";"Chrome";"1440x697";0;1;0;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;26;538,605000001611;"L";1;0;NA;"L";"black";"red";"parity";8;300;"MacOs";"Chrome";"1440x697";0;1;1;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;27;507,825000000536;"L";1;0;NA;"L";"black";"blue";"magnit";4;300;"MacOs";"Chrome";"1440x697";1;0;1;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;28;590,470000002882;"A";1;0;NA;"A";"black";"red";"parity";1;300;"MacOs";"Chrome";"1440x697";1;1;1;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;29;669,325000002515;"A";1;0;NA;"A";"black";"red";"parity";9;300;"MacOs";"Chrome";"1440x697";0;0;0;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;30;1050,87500000081;"A";1;0;NA;"A";"black";"blue";"parity";7;300;"MacOs";"Chrome";"1440x697";0;0;1;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;31;1320,495;"A";1;0;NA;"A";"black";"blue";"magnit";6;300;"MacOs";"Chrome";"1440x697";1;0;0;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;32;1780,03500000341;"A";1;0;NA;"A";"black";"blue";"magnit";8;300;"MacOs";"Chrome";"1440x697";0;0;0;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;33;854,489999997895;"L";1;0;NA;"L";"black";"red";"parity";4;300;"MacOs";"Chrome";"1440x697";1;1;1;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;34;1006,27499999979;"A";1;0;NA;"A";"black";"red";"magnit";7;300;"MacOs";"Chrome";"1440x697";1;1;0;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;35;1762,39499999792;"A";1;0;NA;"A";"black";"red";"magnit";6;300;"MacOs";"Chrome";"1440x697";0;0;0;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
