Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;counterbalance-9qvq;checkpoint-ngg1;checkpoint-nubw;checkpoint-t5ey;Question Key;Response
8;1590681350623;28/05/2020 15:55:50;1590681347367;1;28/05/2020 16:55:47;18619;2;questionnaire-b579;;5180265;5ebc6438748b21094bb167c9;1465518;;complete;;5ecfd248df851004e3d121fc;computer;Desktop or Laptop;Mac OS 10.12.6;Chrome 83.0.4103.61;1920x1080;1458x852;demographics done;demographic;4;BRAC2_vertAL_1st300;Consents given;exp done;demographics done;response-3;English
9;1590681350623;28/05/2020 15:55:50;1590681347367;1;28/05/2020 16:55:47;18619;2;questionnaire-b579;;5180265;5ebc6438748b21094bb167c9;1465518;;complete;;5ecfd248df851004e3d121fc;computer;Desktop or Laptop;Mac OS 10.12.6;Chrome 83.0.4103.61;1920x1080;1458x852;demographics done;demographic;4;BRAC2_vertAL_1st300;Consents given;exp done;demographics done;country;United Kingdom
10;1590681350623;28/05/2020 15:55:50;1590681347367;1;28/05/2020 16:55:47;18619;2;questionnaire-b579;;5180265;5ebc6438748b21094bb167c9;1465518;;complete;;5ecfd248df851004e3d121fc;computer;Desktop or Laptop;Mac OS 10.12.6;Chrome 83.0.4103.61;1920x1080;1458x852;demographics done;demographic;4;BRAC2_vertAL_1st300;Consents given;exp done;demographics done;education;Bachelor degree
11;1590681350623;28/05/2020 15:55:50;1590681347367;1;28/05/2020 16:55:47;18619;2;questionnaire-b579;;5180265;5ebc6438748b21094bb167c9;1465518;;complete;;5ecfd248df851004e3d121fc;computer;Desktop or Laptop;Mac OS 10.12.6;Chrome 83.0.4103.61;1920x1080;1458x852;demographics done;demographic;4;BRAC2_vertAL_1st300;Consents given;exp done;demographics done;education-quantised;5
12;1590681350623;28/05/2020 15:55:50;1590681347367;1;28/05/2020 16:55:47;18619;2;questionnaire-b579;;5180265;5ebc6438748b21094bb167c9;1465518;;complete;;5ecfd248df851004e3d121fc;computer;Desktop or Laptop;Mac OS 10.12.6;Chrome 83.0.4103.61;1920x1080;1458x852;demographics done;demographic;4;BRAC2_vertAL_1st300;Consents given;exp done;demographics done;psyKnowledge;Not at all
13;1590681350623;28/05/2020 15:55:50;1590681347368;1;28/05/2020 16:55:47;18619;2;questionnaire-b579;;5180265;5ebc6438748b21094bb167c9;1465518;;complete;;5ecfd248df851004e3d121fc;computer;Desktop or Laptop;Mac OS 10.12.6;Chrome 83.0.4103.61;1920x1080;1458x852;demographics done;demographic;4;BRAC2_vertAL_1st300;Consents given;exp done;demographics done;psyKnowledge-quantised;1
14;1590681350623;28/05/2020 15:55:50;1590681347368;1;28/05/2020 16:55:47;18619;2;questionnaire-b579;;5180265;5ebc6438748b21094bb167c9;1465518;;complete;;5ecfd248df851004e3d121fc;computer;Desktop or Laptop;Mac OS 10.12.6;Chrome 83.0.4103.61;1920x1080;1458x852;demographics done;demographic;4;BRAC2_vertAL_1st300;Consents given;exp done;demographics done;comment;
15;1590681350623;28/05/2020 15:55:50;1590681347368;1;28/05/2020 16:55:47;18619;2;questionnaire-b579;;5180265;5ebc6438748b21094bb167c9;1465518;;complete;;5ecfd248df851004e3d121fc;computer;Desktop or Laptop;Mac OS 10.12.6;Chrome 83.0.4103.61;1920x1080;1458x852;demographics done;demographic;4;BRAC2_vertAL_1st300;Consents given;exp done;demographics done;END QUESTIONNAIRE;29660
1;1590581558198;27/05/2020 12:12:38;1590581557254;2;27/05/2020 14:12:37;18619;2;questionnaire-b579;;5155852;5e2d8e0accad9c386b566154;1458054;;complete;;5ece50ec52564820c8088f81;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1536x864;1536x754;demographics done;demographic;4;BRAC2_horiAA_1st300;Consents given;exp done;demographics done;BEGIN QUESTIONNAIRE;
2;1590581612079;27/05/2020 12:13:32;1590581611179;2;27/05/2020 14:13:31;18619;2;questionnaire-b579;;5155852;5e2d8e0accad9c386b566154;1458054;;complete;;5ece50ec52564820c8088f81;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1536x864;1519x754;demographics done;demographic;4;BRAC2_horiAA_1st300;Consents given;exp done;demographics done;sex;male
