Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;counterbalance-9qvq;checkpoint-ngg1;checkpoint-nubw;checkpoint-t5ey;Spreadsheet Name;Spreadsheet Row;Trial Number;Screen Number;Screen Name;Zone Name;Zone Type;Reaction Time;Reaction Onset;Response;Attempt;Correct;Incorrect;Dishonest;X Coordinate;Y Coordinate;Timed Out;randomise_blocks;randomise_trials;display;parMap;oddMap;evenMap;firstFig;secondFig;cueFileName;stimFileName;magnMap;greatMap;lessMap;ANSWER;mappingsGuide;cue0FileName;breakMessage;;cuecolor;framecolor;orientation;stimulus;task;cocoa;blockN;trialN;__EMPTY
954;1589787646609;18/05/2020 07:40:46;1589787645941;2;18/05/2020 09:40:45;17326;8;task-me89;;4994482;NY3;1414591;;complete;ifjiel;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x812;demographics done;Instr_Train_Exp_BRAC2;6;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;240;220;4;Screen 4;Zone3;response_keyboard_single;475;;A;1;1;0;0;;;;;;trial;;;;;;blackredvert.png;blackredvert3.png;;;;A;vertLA.png;blackblackvert.png;;;black;red;vert;3;magnit;300;2.0;27.0;239
955;1589787647999;18/05/2020 07:40:47;1589787647326;2;18/05/2020 09:40:47;17326;8;task-me89;;4994482;NY3;1414591;;complete;ifjiel;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x812;demographics done;Instr_Train_Exp_BRAC2;6;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;241;221;1;Screen 1;fixation;fixation;1400;;;;0;1;0;;;;;;trial;;;;;;blackbluehori.png;blackbluehori9.png;;;;A;vertLA.png;blackblackhori.png;;;black;blue;hori;9;parity;300;2.0;28.0;240
956;1589787648280;18/05/2020 07:40:48;1589787647627;2;18/05/2020 09:40:47;17326;8;task-me89;;4994482;NY3;1414591;;complete;ifjiel;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x812;demographics done;Instr_Train_Exp_BRAC2;6;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;241;221;2;Screen 2;advancementZone;timelimit_screen;300;;;;0;1;0;;;1;;;trial;;;;;;blackbluehori.png;blackbluehori9.png;;;;A;vertLA.png;blackblackhori.png;;;black;blue;hori;9;parity;300;2.0;28.0;240
957;1589787648578;18/05/2020 07:40:48;1589787647926;2;18/05/2020 09:40:47;17326;8;task-me89;;4994482;NY3;1414591;;complete;ifjiel;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x812;demographics done;Instr_Train_Exp_BRAC2;6;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;241;221;3;Screen 3;advancementZone;timelimit_screen;299;;;;0;1;0;;;1;;;trial;;;;;;blackbluehori.png;blackbluehori9.png;;;;A;vertLA.png;blackblackhori.png;;;black;blue;hori;9;parity;300;2.0;28.0;240
958;1589787649188;18/05/2020 07:40:49;1589787648535;2;18/05/2020 09:40:48;17326;8;task-me89;;4994482;NY3;1414591;;complete;ifjiel;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x812;demographics done;Instr_Train_Exp_BRAC2;6;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;241;221;4;Screen 4;Zone3;response_keyboard_single;602;;A;1;1;0;0;;;;;;trial;;;;;;blackbluehori.png;blackbluehori9.png;;;;A;vertLA.png;blackblackhori.png;;;black;blue;hori;9;parity;300;2.0;28.0;240
959;1589787650594;18/05/2020 07:40:50;1589787649929;2;18/05/2020 09:40:49;17326;8;task-me89;;4994482;NY3;1414591;;complete;ifjiel;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x812;demographics done;Instr_Train_Exp_BRAC2;6;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;242;222;1;Screen 1;fixation;fixation;1399;;;;0;1;0;;;;;;trial;;;;;;blackbluevert.png;blackbluevert4.png;;;;A;vertLA.png;blackblackvert.png;;;black;blue;vert;4;magnit;300;2.0;29.0;241
960;1589787650895;18/05/2020 07:40:50;1589787650230;2;18/05/2020 09:40:50;17326;8;task-me89;;4994482;NY3;1414591;;complete;ifjiel;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x812;demographics done;Instr_Train_Exp_BRAC2;6;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;242;222;2;Screen 2;advancementZone;timelimit_screen;301;;;;0;1;0;;;1;;;trial;;;;;;blackbluevert.png;blackbluevert4.png;;;;A;vertLA.png;blackblackvert.png;;;black;blue;vert;4;magnit;300;2.0;29.0;241
961;1589787651176;18/05/2020 07:40:51;1589787650530;2;18/05/2020 09:40:50;17326;8;task-me89;;4994482;NY3;1414591;;complete;ifjiel;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x812;demographics done;Instr_Train_Exp_BRAC2;6;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;242;222;3;Screen 3;advancementZone;timelimit_screen;300;;;;0;1;0;;;1;;;trial;;;;;;blackbluevert.png;blackbluevert4.png;;;;A;vertLA.png;blackblackvert.png;;;black;blue;vert;4;magnit;300;2.0;29.0;241
962;1589787652254;18/05/2020 07:40:52;1589787651609;2;18/05/2020 09:40:51;17326;8;task-me89;;4994482;NY3;1414591;;complete;ifjiel;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x812;demographics done;Instr_Train_Exp_BRAC2;6;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;242;222;4;Screen 4;Zone4;response_keyboard_single;1071;;L;1;0;1;0;;;;;;trial;;;;;;blackbluevert.png;blackbluevert4.png;;;;A;vertLA.png;blackblackvert.png;;;black;blue;vert;4;magnit;300;2.0;29.0;241
963;1589787653661;18/05/2020 07:40:53;1589787652996;2;18/05/2020 09:40:52;17326;8;task-me89;;4994482;NY3;1414591;;complete;ifjiel;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x812;demographics done;Instr_Train_Exp_BRAC2;6;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;243;223;1;Screen 1;fixation;fixation;1400;;;;0;1;0;;;;;;trial;;;;;;blackbluevert.png;blackbluevert9.png;;;;L;vertLA.png;blackblackvert.png;;;black;blue;vert;9;magnit;300;2.0;30.0;242
